+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " Loosely Couple "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = "  0.040,-0.150,-0.060 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/06 10:48:57 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      Roll         = 横滚                             
-      Pitch        = 俯仰                             
-      Heading      = 航向                             
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
455610.000    30.4864613306   114.5635137163     25.238    4.35522922    0.67699753  195.19473615 
455611.000    30.4864568550   114.5635124949     25.233    4.37380024    0.75540208  194.31810092 
455612.000    30.4864519637   114.5635113933     25.227    4.35624685    0.79842182  193.09720396 
455613.000    30.4864469248   114.5635105177     25.219    4.24826462    0.83689991  191.61973314 
455614.000    30.4864416417   114.5635096950     25.207    4.34063171    0.90844085  190.16115160 
455615.000    30.4864360356   114.5635088350     25.193    4.26545297    0.86763223  189.00125752 
455616.000    30.4864303167   114.5635079111     25.180    4.30817286    0.86433855  188.19628112 
455617.000    30.4864243297   114.5635070146     25.171    4.29250598    0.84227493  187.46422552 
455618.000    30.4864182421   114.5635061708     25.161    4.27749569    0.86709699  186.74234548 
455619.000    30.4864127970   114.5635054780     25.152    4.24653233    0.86923764  186.14029003 
455620.000    30.4864086572   114.5635048775     25.147    4.30758026    0.86484380  185.92117159 
455621.000    30.4864060515   114.5635045012     25.142    4.32582491    0.81122007  185.82210313 
455622.000    30.4864059587   114.5635044887     25.144    4.34674609    0.81002941  185.82678591 
455623.000    30.4864059566   114.5635044894     25.143    4.34964214    0.82764619  185.82549836 
455624.000    30.4864059616   114.5635044900     25.141    4.35183888    0.83852014  185.82268901 
455625.000    30.4864059685   114.5635044925     25.140    4.34340444    0.85985166  185.81886418 
455626.000    30.4864059686   114.5635044896     25.140    4.34764527    0.87038174  185.82179405 
455627.000    30.4864059658   114.5635044833     25.140    4.34466105    0.87959742  185.82512499 
455628.000    30.4864059671   114.5635044764     25.142    4.34754850    0.88111147  185.83240646 
455629.000    30.4864059692   114.5635044771     25.143    4.34720469    0.88261956  185.83602456 
455630.000    30.4864059698   114.5635044805     25.143    4.34722647    0.89362609  185.84082722 
455631.000    30.4864059728   114.5635044794     25.143    4.34154996    0.88799660  185.83668711 
455632.000    30.4864059656   114.5635044758     25.143    4.34450481    0.89077118  185.83115762 
455633.000    30.4864059624   114.5635044708     25.144    4.34184174    0.89297076  185.83677608 
455634.000    30.4864059649   114.5635044705     25.145    4.33867569    0.89037111  185.84456741 
455635.000    30.4864059588   114.5635044717     25.146    4.33889809    0.89512404  185.84442518 
455636.000    30.4864059547   114.5635044768     25.146    4.34155387    0.90039516  185.84366788 
455637.000    30.4864059482   114.5635044690     25.146    4.34284010    0.90190403  185.85004639 
455638.000    30.4864059427   114.5635044684     25.149    4.34182967    0.90672958  185.84347073 
455639.000    30.4864059338   114.5635044804     25.150    4.35150432    0.90323518  185.84670039 
455640.000    30.4864059341   114.5635044790     25.151    4.35122767    0.90622453  185.83598124 
455641.000    30.4864059395   114.5635044770     25.152    4.35822392    0.89734635  185.83435716 
455642.000    30.4864059386   114.5635044836     25.151    4.35743403    0.89813816  185.82699845 
455643.000    30.4864059335   114.5635044847     25.149    4.35871998    0.89923401  185.82234563 
455644.000    30.4864059324   114.5635044771     25.148    4.35362491    0.90781943  185.81569701 
455645.000    30.4864059291   114.5635044742     25.148    4.35270219    0.90680644  185.81131752 
455646.000    30.4864059234   114.5635044788     25.149    4.35393123    0.90650561  185.81034574 
455647.000    30.4864059170   114.5635044711     25.150    4.35098125    0.90444569  185.81640146 
455648.000    30.4864059265   114.5635044764     25.150    4.35703082    0.89751883  185.81937333 
455649.000    30.4864059268   114.5635044858     25.150    4.35668359    0.89493835  185.81676588 
455650.000    30.4864059354   114.5635044877     25.150    4.35687539    0.89397171  185.81367951 
455651.000    30.4864059374   114.5635044866     25.148    4.35914249    0.89763596  185.81687341 
455652.000    30.4864059357   114.5635044864     25.147    4.35785012    0.89097443  185.81902654 
455653.000    30.4864059306   114.5635044824     25.147    4.36213027    0.88494914  185.81656538 
455654.000    30.4864059369   114.5635044854     25.146    4.36691659    0.88536211  185.81905869 
455655.000    30.4864059433   114.5635044886     25.146    4.36679307    0.88052772  185.82318608 
455656.000    30.4864059484   114.5635044966     25.145    4.36733367    0.87761317  185.82695230 
455657.000    30.4864059515   114.5635044985     25.147    4.37120108    0.87488377  185.81907863 
455658.000    30.4864059344   114.5635044985     25.149    4.37575106    0.87239050  185.81793442 
455659.000    30.4864059325   114.5635044968     25.149    4.38206616    0.86372059  185.81660151 
455660.000    30.4864059394   114.5635044888     25.148    4.38641161    0.85491613  185.82240349 
455661.000    30.4864059372   114.5635044834     25.148    4.39633870    0.84651538  185.82732323 
455662.000    30.4864059349   114.5635044877     25.148    4.38770803    0.82813130  185.83234407 
455663.000    30.4864059358   114.5635044844     25.148    4.40290493    0.82303977  185.83009642 
455664.000    30.4864059427   114.5635044818     25.148    4.40305946    0.81664003  185.82967296 
455665.000    30.4864059478   114.5635044887     25.147    4.40831417    0.81017387  185.83399389 
455666.000    30.4864059399   114.5635044884     25.148    4.40744963    0.80114287  185.82170246 
455667.000    30.4864059331   114.5635044796     25.148    4.41312724    0.79078930  185.83493000 
455668.000    30.4864059378   114.5635044876     25.149    4.41550403    0.79058178  185.81698411 
455669.000    30.4864044377   114.5635043861     25.151    4.37681248    0.90804999  185.54479989 
455670.000    30.4863958649   114.5635043691     25.144    4.48362602    1.35756376  182.77594284 
455671.000    30.4863745509   114.5635060306     25.114    4.39580601    1.50608391  176.74399409 
455672.000    30.4863429690   114.5635087105     25.061    4.16239832    1.35934346  174.54799036 
455673.000    30.4863048087   114.5635104418     25.001    4.12500997    1.28825563  175.60967775 
455674.000    30.4862640861   114.5635108681     24.938    4.09475423    1.18817221  177.31756932 
455675.000    30.4862219508   114.5635096454     24.867    4.12350520    1.14899085  179.22848735 
455676.000    30.4861786772   114.5635072390     24.798    3.95544375    1.04617245  180.50079416 
455677.000    30.4861345594   114.5635050325     24.716    4.22844230    0.95918407  179.98103336 
455678.000    30.4860901037   114.5635045309     24.633    4.37358118    1.05652709  178.23481523 
455679.000    30.4860456634   114.5635047825     24.560    4.18798582    0.95403178  177.74526773 
455680.000    30.4860054725   114.5635047582     24.494    4.17236559    0.70613210  177.85652904 
455681.000    30.4859718667   114.5635047154     24.438    4.09211259    0.59489742  177.85046560 
455682.000    30.4859451435   114.5635039846     24.400    4.07167125    0.71849503  179.05161477 
455683.000    30.4859208922   114.5635019286     24.361    4.22171753    0.70770945  181.14123789 
455684.000    30.4858983124   114.5634993173     24.320    4.43243674    0.70995565  182.68733130 
455685.000    30.4858773713   114.5634974856     24.275    4.49819943    0.74269464  182.23888121 
455686.000    30.4858580856   114.5634963734     24.234    4.41954298    0.70278747  181.28392743 
455687.000    30.4858392667   114.5634956069     24.195    4.38321993    0.70014293  180.32349045 
455688.000    30.4858199955   114.5634951845     24.162    4.27591905    0.69661572  179.38159940 
455689.000    30.4858008616   114.5634951373     24.124    4.33756835    0.72187632  178.40453058 
455690.000    30.4857817371   114.5634954912     24.082    4.33404643    0.71605083  177.43208919 
455691.000    30.4857609059   114.5634963618     24.038    4.33761244    0.88826960  176.26869129 
455692.000    30.4857367219   114.5634980835     23.994    4.35448875    0.97731236  174.77151016 
455693.000    30.4857120619   114.5635003569     23.954    4.26926157    0.91856383  173.68742253 
455694.000    30.4856888574   114.5635025194     23.927    4.26168060    1.08037841  173.34715204 
455695.000    30.4856672893   114.5635043610     23.897    4.00752527    0.90599571  173.57080297 
455696.000    30.4856475082   114.5635058596     23.863    4.11303873    0.93927197  173.83448306 
455697.000    30.4856289706   114.5635074259     23.834    4.27852613    0.89216603  173.62344138 
455698.000    30.4856098553   114.5635091758     23.803    4.30572080    0.84778586  173.37401265 
455699.000    30.4855906883   114.5635110335     23.776    4.20549708    0.90908145  173.13142994 
455700.000    30.4855718434   114.5635129518     23.744    4.13494960    0.90713395  172.90269077 
455701.000    30.4855529195   114.5635149665     23.709    4.14813032    0.82257997  172.66149243 
455702.000    30.4855340301   114.5635171073     23.676    4.16383183    0.87854925  172.41434404 
455703.000    30.4855120004   114.5635196803     23.640    3.97870801    1.15897702  172.20074571 
455704.000    30.4854817874   114.5635232805     23.594    3.77892453    1.25255118  172.03284936 
455705.000    30.4854455193   114.5635276627     23.536    3.66777485    0.85649767  171.90520770 
455706.000    30.4854132745   114.5635315006     23.491    3.70094526    0.87790108  171.94044203 
455707.000    30.4853865923   114.5635343419     23.465    3.80883715    1.12482185  172.34712354 
455708.000    30.4853626625   114.5635364981     23.446    3.86599185    1.31150390  173.08334675 
455709.000    30.4853419398   114.5635380875     23.428    4.17087325    1.09899135  173.62232554 
455710.000    30.4853262014   114.5635395567     23.413    4.25962000    1.14657893  173.39904363 
455711.000    30.4853158104   114.5635405024     23.401    4.27184150    1.19853608  173.36829375 
455712.000    30.4853120617   114.5635408421     23.395    4.29430345    1.18252399  173.36717716 
455713.000    30.4853120980   114.5635408366     23.395    4.30152483    1.35807448  173.36242821 
455714.000    30.4853120106   114.5635408452     23.395    4.29848462    1.36444131  173.35631133 
455715.000    30.4853118063   114.5635408594     23.396    4.31170818    1.36127434  173.35622662 
455716.000    30.4853116320   114.5635408683     23.397    4.31780731    1.35932798  173.35350197 
455717.000    30.4853114705   114.5635408784     23.397    4.33703662    1.35513880  173.35279822 
455718.000    30.4853112612   114.5635408895     23.397    4.33905556    1.35880382  173.34940672 
