+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/1/1.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703130815_1.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200701wnlbs/1/GNSS/1.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/1/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 15:13:19 "
-      时间(数据) = " 2020/07/03 05:08:36 ~ 2020/07/03 05:26:12 "
-      时间(处理) = " 2020/07/03 05:11:09 ~ 2020/07/03 05:26:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell  
     (sec)            (Deg)            (Deg)        (m)  
450670.000    30.4888605828   114.5587671079     27.836 
450671.000    30.4888499401   114.5588542489     27.920 
450672.000    30.4888394298   114.5589440192     28.045 
450673.000    30.4888289938   114.5590347707     28.166 
450674.000    30.4888183491   114.5591264962     28.268 
450675.000    30.4888068267   114.5592190654     28.372 
450676.000    30.4887942319   114.5593130110     28.475 
450677.000    30.4887804105   114.5594087906     28.582 
450678.000    30.4887655239   114.5595064021     28.673 
450679.000    30.4887503648   114.5596059605     28.761 
450680.000    30.4887351002   114.5597076392     28.829 
450681.000    30.4887199367   114.5598109185     28.875 
450682.000    30.4887051098   114.5599148819     28.920 
450683.000    30.4886904540   114.5600197353     28.948 
450684.000    30.4886759066   114.5601253882     28.991 
450685.000    30.4886612169   114.5602322011     29.017 
450686.000    30.4886460491   114.5603410530     29.041 
450687.000    30.4886304113   114.5604519498     29.062 
450688.000    30.4886142856   114.5605645434     29.103 
450689.000    30.4885979559   114.5606785386     29.146 
450690.000    30.4885814273   114.5607932416     29.174 
450691.000    30.4885647260   114.5609086050     29.203 
450692.000    30.4885479682   114.5610235199     29.239 
450693.000    30.4885312422   114.5611374641     29.278 
450694.000    30.4885148744   114.5612512215     29.314 
450695.000    30.4884988002   114.5613653244     29.351 
450696.000    30.4884827420   114.5614801378     29.380 
450697.000    30.4884664460   114.5615963005     29.416 
450698.000    30.4884499342   114.5617141018     29.450 
450699.000    30.4884331138   114.5618335778     29.480 
450700.000    30.4884160314   114.5619545703     29.520 
450701.000    30.4883987529   114.5620769759     29.563 
450702.000    30.4883813947   114.5622000153     29.594 
450703.000    30.4883641735   114.5623213117     29.622 
450704.000    30.4883472059   114.5624407537     29.652 
450705.000    30.4883300418   114.5625608214     29.681 
450706.000    30.4883126766   114.5626826272     29.690 
450707.000    30.4882952920   114.5628058048     29.687 
450708.000    30.4882782020   114.5629279379     29.678 
450709.000    30.4882617064   114.5630466523     29.630 
450710.000    30.4882455722   114.5631616656     29.593 
450711.000    30.4882300270   114.5632728706     29.559 
450712.000    30.4882154367   114.5633802066     29.536 
450713.000    30.4882020918   114.5634834883     29.503 
450714.000    30.4881899709   114.5635824189     29.471 
450715.000    30.4881789825   114.5636749834     29.444 
450716.000    30.4881689335   114.5637610393     29.431 
450717.000    30.4881589046   114.5638415876     29.419 
450718.000    30.4881493323   114.5639148286     29.428 
450719.000    30.4881407414   114.5639783530     29.441 
450720.000    30.4881334877   114.5640341802     29.469 
450721.000    30.4881307058   114.5640877689     29.548 
450722.000    30.4881382355   114.5641413910     29.698 
450723.000    30.4881572184   114.5641936032     29.857 
450724.000    30.4881876893   114.5642409015     30.060 
450725.000    30.4882290966   114.5642797796     30.274 
450726.000    30.4882800501   114.5643080135     30.492 
450727.000    30.4883362902   114.5643316385     30.724 
450728.000    30.4883955529   114.5643570053     30.982 
450729.000    30.4884585302   114.5643837768     31.231 
450730.000    30.4885251209   114.5644117994     31.501 
450731.000    30.4885949494   114.5644410329     31.786 
450732.000    30.4886664870   114.5644709616     32.057 
450733.000    30.4887368493   114.5645006420     32.323 
450734.000    30.4888039828   114.5645293339     32.580 
450735.000    30.4888648172   114.5645561368     32.768 
450736.000    30.4889186385   114.5645819112     32.951 
450737.000    30.4889672180   114.5646089240     33.103 
450738.000    30.4890105816   114.5646409638     33.304 
450739.000    30.4890482758   114.5646799404     33.397 
450740.000    30.4890793795   114.5647281664     33.405 
450741.000    30.4890986230   114.5647845449     33.441 
450742.000    30.4891040256   114.5648472629     33.483 
450743.000    30.4890971750   114.5649142600     33.494 
450744.000    30.4890867601   114.5649872629     33.505 
450745.000    30.4890759178   114.5650668532     33.537 
450746.000    30.4890650156   114.5651524492     33.559 
450747.000    30.4890535096   114.5652433176     33.598 
450748.000    30.4890423103   114.5653392404     33.639 
450749.000    30.4890310531   114.5654410909     33.686 
450750.000    30.4890189643   114.5655482764     33.770 
450751.000    30.4890047919   114.5656597932     33.861 
450752.000    30.4889894947   114.5657753062     33.972 
450753.000    30.4889748574   114.5658939367     34.096 
450754.000    30.4889601598   114.5660140436     34.238 
450755.000    30.4889447812   114.5661353037     34.397 
450756.000    30.4889283389   114.5662569623     34.532 
450757.000    30.4889112065   114.5663785169     34.680 
450758.000    30.4888939389   114.5664996548     34.840 
450759.000    30.4888774097   114.5666206715     34.977 
450760.000    30.4888613268   114.5667428715     35.126 
450761.000    30.4888452336   114.5668670232     35.282 
450762.000    30.4888306490   114.5669933284     35.446 
450763.000    30.4888177583   114.5671212253     35.609 
450764.000    30.4888059637   114.5672486772     35.777 
