+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/4/4.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703135800highway_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/GNSS/4.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:49:46 "
-      时间(数据) = " 2020/07/03 05:58:21 ~ 2020/07/03 06:31:43 "
-      时间(处理) = " 2020/07/03 05:58:26 ~ 2020/07/03 06:30:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
453608.000    30.4626902179   114.5624344152     24.811 
453609.000    30.4627443802   114.5622047234     24.784 
453610.000    30.4627990088   114.5619750276     24.750 
453611.000    30.4628540600   114.5617435014     24.692 
453612.000    30.4629092055   114.5615087495     24.603 
453613.000    30.4629651700   114.5612704585     24.478 
453614.000    30.4630224519   114.5610287001     24.378 
453615.000    30.4630808906   114.5607835584     24.288 
453616.000    30.4631401653   114.5605352518     24.196 
453617.000    30.4631996091   114.5602874470     24.128 
453618.000    30.4632593854   114.5600418207     24.042 
453619.000    30.4633186504   114.5597979747     23.949 
453620.000    30.4633773361   114.5595576444     23.870 
453621.000    30.4634358858   114.5593180763     23.830 
453622.000    30.4634942678   114.5590774394     23.874 
453623.000    30.4635513078   114.5588370452     24.038 
453624.000    30.4636063368   114.5585981466     24.316 
453625.000    30.4636601043   114.5583608012     24.620 
453626.000    30.4637138285   114.5581246273     24.854 
453627.000    30.4637684623   114.5578880099     24.973 
453628.000    30.4638245199   114.5576492761     24.988 
453629.000    30.4638817693   114.5574078417     24.928 
453630.000    30.4639397978   114.5571653773     24.818 
453631.000    30.4639978673   114.5569265761     24.641 
453632.000    30.4640561672   114.5566912143     24.330 
453633.000    30.4641162036   114.5564559901     23.862 
453634.000    30.4641783207   114.5562197769     23.373 
453635.000    30.4642409620   114.5559821200     22.990 
453636.000    30.4643022960   114.5557468420     22.729 
453637.000    30.4643628149   114.5555149194     22.570 
453638.000    30.4644241617   114.5552830408     22.518 
453639.000    30.4644857336   114.5550486614     22.497 
453640.000    30.4645479919   114.5548110610     22.457 
453641.000    30.4646120102   114.5545702330     22.349 
453642.000    30.4646781481   114.5543272523     22.314 
453643.000    30.4647448975   114.5540851446     22.244 
453644.000    30.4648113936   114.5538432604     22.163 
453645.000    30.4648766620   114.5536043807     22.083 
453646.000    30.4649411864   114.5533692303     22.016 
453647.000    30.4650063724   114.5531375545     21.961 
453648.000    30.4650713872   114.5529101435     21.859 
453649.000    30.4651370117   114.5526859570     21.789 
453650.000    30.4652019954   114.5524641182     21.719 
453651.000    30.4652646203   114.5522455977     21.645 
453652.000    30.4653263844   114.5520309931     21.569 
453653.000    30.4653875618   114.5518203146     21.509 
453654.000    30.4654487360   114.5516139431     21.448 
453655.000    30.4655100204   114.5514113984     21.370 
453656.000    30.4655714550   114.5512099486     21.318 
453657.000    30.4656325987   114.5510077541     21.245 
453658.000    30.4656936730   114.5508040192     21.189 
453659.000    30.4657561587   114.5505974753     21.125 
453660.000    30.4658206321   114.5503873834     21.060 
453661.000    30.4658865831   114.5501732539     21.001 
453662.000    30.4659535209   114.5499550608     20.975 
453663.000    30.4660224260   114.5497331322     20.882 
453664.000    30.4660928950   114.5495077750     20.822 
453665.000    30.4661647184   114.5492834289     20.754 
453666.000    30.4662377279   114.5490620603     20.671 
453667.000    30.4663112370   114.5488400769     20.635 
453668.000    30.4663846292   114.5486148094     20.534 
453669.000    30.4664590304   114.5483857793     20.454 
453670.000    30.4665355470   114.5481532272     20.384 
453671.000    30.4666145252   114.5479173347     20.263 
453672.000    30.4666947543   114.5476779994     20.120 
453673.000    30.4667758201   114.5474370090     19.926 
453674.000    30.4668581066   114.5471940393     19.694 
453675.000    30.4669414968   114.5469504611     19.460 
453676.000    30.4670257916   114.5467060101     19.196 
453677.000    30.4671109456   114.5464600826     18.902 
453678.000    30.4671964394   114.5462141922     18.630 
453679.000    30.4672833869   114.5459683368     18.328 
453680.000    30.4673719464   114.5457212493     18.026 
453681.000    30.4674611982   114.5454730760     17.675 
453682.000    30.4675507046   114.5452243498     17.341 
453683.000    30.4676404572   114.5449751413     16.994 
453684.000    30.4677300417   114.5447264362     16.661 
453685.000    30.4678199514   114.5444760531     16.375 
453686.000    30.4679099736   114.5442229285     15.951 
453687.000    30.4680008130   114.5439668502     15.635 
453688.000    30.4680918966   114.5437095538     15.362 
453689.000    30.4681836551   114.5434510020     15.154 
453690.000    30.4682760499   114.5431911811     14.886 
453691.000    30.4683692178   114.5429303294     14.582 
453692.000    30.4684619273   114.5426706724     14.264 
453693.000    30.4685542941   114.5424121334     13.950 
453694.000    30.4686467243   114.5421542017     13.609 
453695.000    30.4687394470   114.5418957167     13.256 
453696.000    30.4688326438   114.5416355787     12.953 
453697.000    30.4689260349   114.5413729966     12.678 
453698.000    30.4690199870   114.5411077459     12.418 
453699.000    30.4691148339   114.5408398559     12.205 
453700.000    30.4692106978   114.5405693647     11.997 
453701.000    30.4693076096   114.5402962999     11.766 
453702.000    30.4694059563   114.5400217238     11.551 
453703.000    30.4695043588   114.5397476120     11.364 
453704.000    30.4696026016   114.5394728063     11.242 
453705.000    30.4697012928   114.5391963322     11.169 
453706.000    30.4698001827   114.5389179232     11.113 
453707.000    30.4698989999   114.5386373496     11.053 
453708.000    30.4699969318   114.5383560676     10.978 
