+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 15:03:36 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
455654.000    30.4864126197   114.5635058055     25.780 
455655.000    30.4864126255   114.5635058092     25.780 
455656.000    30.4864126303   114.5635058176     25.780 
455657.000    30.4864126332   114.5635058180     25.781 
455658.000    30.4864126159   114.5635058173     25.784 
455659.000    30.4864126133   114.5635058145     25.783 
455660.000    30.4864126193   114.5635058067     25.783 
455661.000    30.4864126162   114.5635058008     25.783 
455662.000    30.4864126119   114.5635058064     25.783 
455663.000    30.4864126125   114.5635058010     25.783 
455664.000    30.4864126188   114.5635057983     25.783 
455665.000    30.4864126232   114.5635058051     25.783 
455666.000    30.4864126147   114.5635058031     25.783 
455667.000    30.4864126066   114.5635057953     25.784 
455668.000    30.4864126117   114.5635058006     25.784 
455669.000    30.4864111282   114.5635056683     25.785 
455670.000    30.4864026464   114.5635052666     25.772 
455671.000    30.4863813916   114.5635061096     25.740 
455672.000    30.4863497951   114.5635085157     25.689 
455673.000    30.4863116301   114.5635103981     25.630 
455674.000    30.4862708958   114.5635110633     25.568 
455675.000    30.4862287472   114.5635100993     25.497 
455676.000    30.4861854528   114.5635078866     25.430 
455677.000    30.4861413312   114.5635055771     25.349 
455678.000    30.4860968959   114.5635048196     25.265 
455679.000    30.4860524480   114.5635050265     25.193 
455680.000    30.4860122320   114.5635050203     25.130 
455681.000    30.4859786153   114.5635049865     25.076 
455682.000    30.4859518982   114.5635044212     25.037 
455683.000    30.4859276278   114.5635026317     24.998 
455684.000    30.4859050304   114.5635002052     24.957 
455685.000    30.4858840987   114.5634983052     24.912 
455686.000    30.4858648197   114.5634970726     24.870 
455687.000    30.4858460097   114.5634961799     24.832 
455688.000    30.4858267455   114.5634956421     24.799 
455689.000    30.4858076197   114.5634954546     24.760 
455690.000    30.4857884983   114.5634956764     24.718 
455691.000    30.4857676862   114.5634963867     24.672 
455692.000    30.4857435092   114.5634979010     24.627 
455693.000    30.4857188401   114.5635000368     24.588 
455694.000    30.4856956499   114.5635021516     24.559 
455695.000    30.4856740686   114.5635040557     24.531 
455696.000    30.4856542908   114.5635055776     24.496 
455697.000    30.4856357457   114.5635070964     24.468 
455698.000    30.4856166244   114.5635088096     24.438 
455699.000    30.4855974632   114.5635106451     24.410 
455700.000    30.4855786176   114.5635125404     24.378 
455701.000    30.4855596836   114.5635145219     24.344 
455702.000    30.4855407979   114.5635166263     24.310 
455703.000    30.4855187967   114.5635191874     24.271 
455704.000    30.4854885944   114.5635227863     24.222 
455705.000    30.4854522880   114.5635271703     24.170 
455706.000    30.4854200451   114.5635310088     24.124 
455707.000    30.4853933886   114.5635338893     24.095 
455708.000    30.4853694809   114.5635361371     24.074 
455709.000    30.4853487366   114.5635377678     24.060 
455710.000    30.4853330007   114.5635391954     24.044 
455711.000    30.4853226145   114.5635401347     24.031 
455712.000    30.4853188639   114.5635404718     24.025 
455713.000    30.4853189174   114.5635404625     24.023 
455714.000    30.4853188307   114.5635404706     24.023 
455715.000    30.4853186259   114.5635404833     24.024 
455716.000    30.4853184513   114.5635404911     24.025 
