+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS/2.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:48:42 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:33:00 ~ 2020/07/03 05:47:41 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
452082.000    30.4598439861   114.6605771469      8.967 
452083.000    30.4596911527   114.6605985259      8.981 
452084.000    30.4595370280   114.6606207974      9.037 
452085.000    30.4593814624   114.6606431756      9.055 
452086.000    30.4592271213   114.6606632066      9.149 
452087.000    30.4590747116   114.6606794863      9.209 
452088.000    30.4589243754   114.6606932125      9.306 
452089.000    30.4587758848   114.6607038979      9.397 
452090.000    30.4586288169   114.6607095213      9.533 
452091.000    30.4584839775   114.6607106328      9.796 
452092.000    30.4583423227   114.6607052164     10.051 
452093.000    30.4582044935   114.6606907468     10.254 
452094.000    30.4580705069   114.6606668938     10.378 
452095.000    30.4579417236   114.6606328306     10.607 
452096.000    30.4578176261   114.6605907935     10.861 
452097.000    30.4576988668   114.6605412921     11.023 
452098.000    30.4575859691   114.6604876633     11.223 
452099.000    30.4574819382   114.6604295508     11.519 
452100.000    30.4573856068   114.6603679995     11.704 
452101.000    30.4572964158   114.6603064514     11.834 
452102.000    30.4572157928   114.6602472959     11.986 
452103.000    30.4571436652   114.6601901021     12.106 
452104.000    30.4570802674   114.6601354321     12.209 
452105.000    30.4570243043   114.6600838157     12.299 
452106.000    30.4569761282   114.6600371894     12.389 
452107.000    30.4569371601   114.6599999413     12.466 
452108.000    30.4569086617   114.6599781670     12.526 
452109.000    30.4568872306   114.6599714901     12.597 
452110.000    30.4568681193   114.6599767562     12.698 
452111.000    30.4568531170   114.6599942065     12.822 
452112.000    30.4568483751   114.6600229386     12.913 
452113.000    30.4568618784   114.6600590097     12.942 
452114.000    30.4568919127   114.6600972180     12.908 
452115.000    30.4569320602   114.6601364236     12.823 
452116.000    30.4569709713   114.6601753599     12.743 
452117.000    30.4570052390   114.6602152080     12.708 
452118.000    30.4570324303   114.6602503938     12.717 
452119.000    30.4570508861   114.6602739190     12.702 
452120.000    30.4570667174   114.6602901984     12.698 
452121.000    30.4570785455   114.6603008376     12.679 
452122.000    30.4570835352   114.6603049881     12.673 
452123.000    30.4570835418   114.6603049971     12.671 
452124.000    30.4570835327   114.6603049980     12.671 
452125.000    30.4570835335   114.6603050023     12.670 
452126.000    30.4570835284   114.6603050126     12.669 
452127.000    30.4570835265   114.6603050047     12.669 
452128.000    30.4570835336   114.6603050024     12.669 
452129.000    30.4570835327   114.6603050044     12.668 
452130.000    30.4570835353   114.6603050120     12.666 
452131.000    30.4570835415   114.6603049989     12.666 
452132.000    30.4570835440   114.6603050001     12.665 
452133.000    30.4570835354   114.6603050038     12.664 
452134.000    30.4570835403   114.6603050287     12.664 
452135.000    30.4570835410   114.6603050156     12.663 
452136.000    30.4570835416   114.6603050085     12.663 
452137.000    30.4570835404   114.6603050205     12.664 
