   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 487380.00    30.4821463796   114.5827153111     19.766    -19.066      0.066    0.153 
 487381.00    30.4821470651   114.5825190545     20.005    -18.685      0.105    0.240 
 487382.00    30.4821485344   114.5823260937     20.208    -18.375      0.183    0.198 
 487383.00    30.4821498837   114.5821364489     20.428    -18.043      0.140    0.241 
 487384.00    30.4821517238   114.5819508767     20.628    -17.580      0.251    0.226 
 487385.00    30.4821547404   114.5817702216     20.840    -17.079      0.383    0.214 
 487386.00    30.4821590418   114.5815944950     21.044    -16.685      0.517    0.065 
 487387.00    30.4821636422   114.5814230954     21.174    -16.220      0.467    0.101 
 487388.00    30.4821676863   114.5812568208     21.327    -15.732      0.463    0.191 
 487389.00    30.4821711559   114.5810955742     21.488    -15.255      0.313    0.133 
 487390.00    30.4821729702   114.5809396804     21.718    -14.718      0.134    0.183 
 487391.00    30.4821733443   114.5807891783     21.875    -14.177      0.028    0.095 
 487392.00    30.4821737679   114.5806438257     22.000    -13.659      0.111    0.074 
 487393.00    30.4821748179   114.5805069109     22.096    -12.723      0.081    0.068 
 487394.00    30.4821752914   114.5803774519     22.282    -12.182      0.018    0.124 
 487395.00    30.4821750917   114.5802529050     22.289    -11.845     -0.018   -0.140 
 487396.00    30.4821745147   114.5801290187     22.227    -12.002     -0.137    0.051 
 487397.00    30.4821729869   114.5800021870     22.200    -12.373     -0.189   -0.057 
 487398.00    30.4821714829   114.5798709266     22.155    -12.840     -0.070   -0.094 
 487399.00    30.4821710521   114.5797347176     22.096    -13.324     -0.004   -0.026 
 487400.00    30.4821712158   114.5795934431     22.063    -13.793      0.019    0.020 
 487401.00    30.4821710629   114.5794473297     22.010    -14.283     -0.045   -0.094 
 487402.00    30.4821701302   114.5792958006     21.939    -14.833     -0.153   -0.029 
 487403.00    30.4821683123   114.5791382932     21.881    -15.417     -0.231   -0.137 
 487404.00    30.4821664073   114.5789749121     21.794    -15.959     -0.190   -0.099 
 487405.00    30.4821653477   114.5788060156     21.711    -16.470     -0.062   -0.064 
 487406.00    30.4821657071   114.5786315835     21.616    -17.020      0.115   -0.078 
 487407.00    30.4821667182   114.5784517190     21.536    -17.527      0.086   -0.111 
 487408.00    30.4821670799   114.5782668576     21.496    -17.985     -0.014   -0.068 
 487409.00    30.4821672399   114.5780769410     21.424    -18.473      0.023   -0.044 
 487410.00    30.4821677639   114.5778822203     21.313    -18.923      0.098   -0.094 
 487411.00    30.4821690543   114.5776828719     21.232    -19.351      0.189   -0.105 
 487412.00    30.4821704641   114.5774790537     21.125    -19.775      0.140   -0.079 
 487413.00    30.4821718659   114.5772709653     21.067    -20.199      0.205   -0.103 
 487414.00    30.4821729461   114.5770611489     20.957    -19.989      0.136   -0.072 
 487415.00    30.4821737941   114.5768551198     20.831    -19.564      0.099   -0.212 
 487416.00    30.4821755359   114.5766534652     20.770    -19.173      0.231   -0.117 
 487417.00    30.4821774858   114.5764537764     20.645    -19.221      0.193   -0.087 
 487418.00    30.4821788272   114.5762529646     20.554    -19.316      0.083   -0.054 
 487419.00    30.4821793874   114.5760524881     20.465    -19.092      0.026   -0.078 
 487420.00    30.4821793162   114.5758557932     20.387    -18.689     -0.045   -0.036 
 487421.00    30.4821786454   114.5756636703     20.421    -18.217     -0.090    0.117 
 487422.00    30.4821784469   114.5754764035     20.508    -17.723      0.019    0.111 
 487423.00    30.4821785871   114.5752942087     20.602    -17.263     -0.004    0.116 
 487424.00    30.4821780077   114.5751161209     20.656    -16.973     -0.063    0.002 
 487425.00    30.4821788692   114.5749411883     20.644    -16.565      0.215    0.004 
 487426.00    30.4821818405   114.5747699405     20.755    -16.419      0.349    0.016 
 487427.00    30.4821848712   114.5745982268     20.815    -16.604      0.302    0.058 
 487428.00    30.4821871784   114.5744247773     20.896    -16.754      0.178    0.072 
 487429.00    30.4821884320   114.5742492745     20.994    -16.962      0.086    0.114 
 487430.00    30.4821885378   114.5740716043     21.084    -17.169     -0.031    0.118 
 487431.00    30.4821880878   114.5738920335     21.195    -17.336     -0.062    0.120 
 487432.00    30.4821876582   114.5737111093     21.281    -17.369     -0.016    0.054 
 487433.00    30.4821876354   114.5735301418     21.349    -17.386      0.020    0.113 
 487434.00    30.4821885204   114.5733484970     21.423    -17.480      0.118    0.160 
 487435.00    30.4821898407   114.5731652411     21.501    -17.723      0.161    0.078 
 487436.00    30.4821908586   114.5729796285     21.563    -17.929      0.095    0.088 
 487437.00    30.4821918107   114.5727917082     21.656    -18.108      0.158    0.076 
 487438.00    30.4821934063   114.5726022817     21.756    -18.268      0.182    0.103 
 487439.00    30.4821950512   114.5724111814     21.839    -18.443      0.187    0.058 
 487440.00    30.4821965686   114.5722183816     21.912    -18.557      0.157    0.047 
 487441.00    30.4821976502   114.5720255815     22.009    -18.491      0.100    0.115 
 487442.00    30.4821984973   114.5718338112     22.093    -18.308      0.053    0.118 
 487443.00    30.4821990148   114.5716429279     22.187    -18.392      0.035    0.072 
 487444.00    30.4821993397   114.5714509772     22.290    -18.347      0.027    0.169 
 487445.00    30.4822000178   114.5712612571     22.469    -18.146      0.095    0.221 
 487446.00    30.4822011471   114.5710719213     22.702    -18.209      0.121    0.189 
 487447.00    30.4822019822   114.5708829506     23.004    -18.093      0.105    0.324 
 487448.00    30.4822030793   114.5706949696     23.375    -17.965      0.169    0.336 
 487449.00    30.4822048645   114.5705087507     23.756    -17.792      0.225    0.330 
 487450.00    30.4822064011   114.5703242377     24.114    -17.639      0.147    0.342 
 487451.00    30.4822073915   114.5701414224     24.493    -17.490      0.069    0.454 
 487452.00    30.4822073275   114.5699595182     24.853    -17.492     -0.090    0.398 
 487453.00    30.4822067993   114.5697777648     25.217    -17.357     -0.029    0.347 
 487454.00    30.4822070828   114.5695972476     25.596    -17.348      0.045    0.355 
 487455.00    30.4822074811   114.5694166013     25.952    -17.344      0.047    0.369 
 487456.00    30.4822080875   114.5692377294     26.331    -16.961      0.079    0.411 
 487457.00    30.4822100891   114.5690632134     26.662    -16.477      0.345    0.293 
 487458.00    30.4822135682   114.5688947844     27.017    -15.847      0.409    0.393 
 487459.00    30.4822177377   114.5687327056     27.338    -15.255      0.498    0.304 
 487460.00    30.4822228158   114.5685766500     27.587    -14.767      0.662    0.115 
 487461.00    30.4822297796   114.5684226060     27.768    -14.862      0.897    0.177 
 487462.00    30.4822400316   114.5682664242     27.882    -15.072      1.363    0.074 
 487463.00    30.4822552584   114.5681078246     27.910    -15.307      1.988   -0.021 
 487464.00    30.4822761783   114.5679471163     27.856    -15.429      2.535   -0.114 
 487465.00    30.4823002289   114.5677875998     27.737    -15.157      2.724   -0.119 
 487466.00    30.4823263027   114.5676280472     27.560    -15.514      3.048   -0.223 
 487467.00    30.4823556407   114.5674637042     27.347    -16.055      3.416   -0.186 
 487468.00    30.4823873879   114.5672930285     27.133    -16.673      3.554   -0.216 
 487469.00    30.4824200317   114.5671168727     26.897    -17.182      3.657   -0.187 
 487470.00    30.4824533053   114.5669354847     26.689    -17.654      3.700   -0.220 
 487471.00    30.4824865033   114.5667498091     26.455    -17.822      3.612   -0.263 
 487472.00    30.4825183708   114.5665655049     26.208    -17.576      3.463   -0.305 
 487473.00    30.4825491592   114.5663844277     25.997    -17.205      3.389   -0.201 
 487474.00    30.4825803210   114.5662069566     25.799    -16.856      3.508   -0.185 
 487475.00    30.4826117059   114.5660328756     25.547    -16.565      3.408   -0.230 
 487476.00    30.4826412748   114.5658641555     25.388    -15.717      3.119   -0.151 
 487477.00    30.4826677991   114.5657065344     25.209    -14.635      2.779   -0.160 
 487478.00    30.4826917294   114.5655554138     24.980    -14.378      2.550   -0.203 
 487479.00    30.4827140678   114.5654067817     24.794    -14.159      2.477   -0.179 
 487480.00    30.4827369665   114.5652597031     24.624    -14.042      2.578   -0.088 
 487481.00    30.4827603179   114.5651139003     24.476    -13.943      2.572   -0.181 
 487482.00    30.4827833163   114.5649684059     24.265    -14.062      2.505   -0.251 
 487483.00    30.4828054970   114.5648211091     24.107    -14.171      2.430   -0.139 
 487484.00    30.4828273523   114.5646746057     23.908    -13.945      2.408   -0.182 
 487485.00    30.4828480024   114.5645352852     23.705    -12.690      2.178   -0.251 
 487486.00    30.4828665492   114.5644117227     23.564    -11.022      1.915   -0.120 
 487487.00    30.4828827151   114.5643073190     23.421     -9.001      1.623   -0.120 
 487488.00    30.4828958788   114.5642212583     23.336     -7.930      1.353   -0.065 
 487489.00    30.4829072613   114.5641407694     23.243     -7.655      1.196   -0.100 
 487490.00    30.4829179175   114.5640577792     23.138     -8.372      1.192   -0.088 
 487491.00    30.4829291949   114.5639654405     23.039     -9.382      1.300   -0.101 
 487492.00    30.4829411997   114.5638623728     22.910    -10.407      1.372   -0.136 
 487493.00    30.4829536922   114.5637485100     22.755    -11.450      1.402   -0.145 
 487494.00    30.4829664970   114.5636242746     22.619    -12.415      1.439   -0.148 
 487495.00    30.4829792615   114.5634902581     22.456    -13.346      1.374   -0.196 
 487496.00    30.4829912346   114.5633468950     22.286    -14.204      1.308   -0.197 
 487497.00    30.4830024483   114.5631945736     22.084    -15.064      1.213   -0.154 
 487498.00    30.4830124453   114.5630362989     21.877    -15.211      0.999   -0.188 
 487499.00    30.4830206687   114.5628775518     21.687    -15.370      0.848   -0.185 
 487500.00    30.4830281623   114.5627154953     21.475    -15.759      0.778   -0.243 
 487501.00    30.4830335893   114.5625498179     21.269    -16.075      0.427   -0.187 
 487502.00    30.4830357822   114.5623810450     21.047    -16.354      0.168   -0.240 
 487503.00    30.4830368784   114.5622100242     20.829    -16.485      0.105   -0.294 
 487504.00    30.4830378414   114.5620385444     20.642    -16.424      0.114   -0.215 
 487505.00    30.4830387381   114.5618677155     20.463    -16.402      0.091   -0.184 
 487506.00    30.4830395342   114.5616973986     20.286    -16.236      0.088   -0.144 
 487507.00    30.4830407945   114.5615302815     20.131    -15.757      0.208   -0.161 
 487508.00    30.4830430353   114.5613714630     20.005    -14.668      0.282   -0.127 
 487509.00    30.4830457389   114.5612221518     19.910    -14.129      0.300   -0.071 
 487510.00    30.4830482120   114.5610778596     19.882    -13.516      0.226   -0.016 
 487511.00    30.4830499352   114.5609404593     19.814    -12.986      0.149   -0.053 
 487512.00    30.4830513382   114.5608067240     19.799    -12.758      0.130    0.055 
 487513.00    30.4830530785   114.5606737248     19.744    -12.807      0.214   -0.043 
 487514.00    30.4830552794   114.5605391575     19.722    -13.070      0.238   -0.006 
 487515.00    30.4830562659   114.5604010429     19.695    -13.480     -0.023    0.002 
 487516.00    30.4830552096   114.5602591203     19.648    -13.766     -0.172   -0.084 
 487517.00    30.4830536918   114.5601142232     19.584    -14.053     -0.174   -0.076 
 487518.00    30.4830521722   114.5599670827     19.514    -14.101     -0.142   -0.071 
 487519.00    30.4830521906   114.5598218465     19.467    -13.716      0.111    0.000 
 487520.00    30.4830545090   114.5596811043     19.406    -13.256      0.384   -0.087 
 487521.00    30.4830598145   114.5595449228     19.375    -12.860      0.768   -0.107 
 487522.00    30.4830683216   114.5594130308     19.355    -12.448      1.059   -0.043 
 487523.00    30.4830790565   114.5592852045     19.274    -12.084      1.255   -0.055 
 487524.00    30.4830907977   114.5591591656     19.218    -12.264      1.246   -0.012 
 487525.00    30.4831011113   114.5590290213     19.143    -12.783      1.018   -0.078 
 487526.00    30.4831078206   114.5588938013     19.090    -13.266      0.613   -0.300 
 487527.00    30.4831100744   114.5587534129     18.982    -13.785      0.052   -0.096 
 487528.00    30.4831091933   114.5586110997     18.908    -13.247     -0.159   -0.050 
 487529.00    30.4831083495   114.5584810914     18.856    -11.644     -0.003   -0.058 
 487530.00    30.4831099935   114.5583684211     18.808    -10.096      0.359   -0.054 
 487531.00    30.4831159487   114.5582695697     18.764     -8.542      0.852   -0.019 
 487532.00    30.4831286829   114.5581907353     18.695     -6.214      1.872   -0.093 
 487533.00    30.4831552752   114.5581323503     18.615     -4.674      3.428   -0.070 
 487534.00    30.4831925385   114.5580901284     18.538     -3.170      4.361   -0.016 
 487535.00    30.4832382740   114.5580632251     18.487     -1.826      5.549   -0.063 
 487536.00    30.4832945222   114.5580511032     18.429     -0.626      6.695   -0.047 
 487537.00    30.4833599828   114.5580465923     18.400     -0.280      7.796    0.018 
 487538.00    30.4834353817   114.5580442618     18.437     -0.165      8.906    0.047 
 487539.00    30.4835205118   114.5580427173     18.453     -0.125      9.980    0.004 
 487540.00    30.4836149798   114.5580424060     18.475      0.049     10.971    0.015 
 487541.00    30.4837181733   114.5580426850     18.499      0.002     11.898    0.100 
 487542.00    30.4838295153   114.5580424393     18.570     -0.041     12.791    0.030 
 487543.00    30.4839484591   114.5580421402     18.616      0.007     13.582    0.054 
 487544.00    30.4840745221   114.5580422034     18.690      0.024     14.350    0.132 
 487545.00    30.4842053139   114.5580421935     18.810     -0.000     14.489    0.090 
 487546.00    30.4843344232   114.5580424145     18.945      0.116     14.182    0.184 
 487547.00    30.4844630601   114.5580442551     19.142      0.232     14.374    0.182 
 487548.00    30.4845941052   114.5580464536     19.353      0.182     14.699    0.262 
 487549.00    30.4847284768   114.5580478837     19.545      0.114     15.085    0.226 
 487550.00    30.4848657870   114.5580485413     19.783      0.011     15.327    0.207 
 487551.00    30.4850027886   114.5580486771     19.992      0.078     15.064    0.154 
 487552.00    30.4851380372   114.5580500036     20.191      0.170     14.873    0.177 
 487553.00    30.4852701963   114.5580521278     20.391      0.223     14.466    0.221 
 487554.00    30.4853998042   114.5580544238     20.599      0.174     14.286    0.196 
 487555.00    30.4855285998   114.5580559013     20.800      0.121     14.290    0.207 
 487556.00    30.4856566591   114.5580567752     21.002      0.061     14.128    0.226 
 487557.00    30.4857836623   114.5580572000     21.208      0.078     14.018    0.185 
 487558.00    30.4859094457   114.5580582457     21.400      0.135     13.897    0.143 
 487559.00    30.4860340826   114.5580599623     21.593      0.169     13.779    0.152 
 487560.00    30.4861577985   114.5580612459     21.804      0.077     13.673    0.214 
 487561.00    30.4862807320   114.5580614150     21.987     -0.025     13.542    0.240 
 487562.00    30.4864030063   114.5580611336     22.188      0.015     13.567    0.136 
 487563.00    30.4865254684   114.5580621807     22.384      0.170     13.600    0.175 
 487564.00    30.4866481954   114.5580644750     22.589      0.234     13.611    0.198 
 487565.00    30.4867710356   114.5580663298     22.781      0.123     13.625    0.226 
 487566.00    30.4868938258   114.5580674144     22.975      0.100     13.515    0.211 
 487567.00    30.4870151291   114.5580685480     23.165      0.130     13.419    0.191 
 487568.00    30.4871361615   114.5580698902     23.351      0.136     13.330    0.247 
 487569.00    30.4872556679   114.5580713252     23.532      0.107     13.113    0.196 
 487570.00    30.4873730564   114.5580722155     23.710      0.050     12.915    0.236 
 487571.00    30.4874890045   114.5580724775     23.900     -0.038     12.666    0.181 
 487572.00    30.4876012876   114.5580719046     24.071     -0.095     12.305    0.139 
 487573.00    30.4877108017   114.5580706441     24.245     -0.106     11.976    0.200 
 487574.00    30.4878165281   114.5580700247     24.429     -0.032     11.468    0.137 
 487575.00    30.4879174634   114.5580700930     24.578      0.026     10.908    0.186 
 487576.00    30.4880133518   114.5580702478     24.718      0.010     10.297    0.130 
 487577.00    30.4881018398   114.5580697049     24.864     -0.130      9.206    0.155 
 487578.00    30.4881785538   114.5580664582     24.993     -0.514      7.733    0.107 
 487579.00    30.4882392238   114.5580590692     25.106     -0.884      5.659    0.090 
 487580.00    30.4882830884   114.5580472246     25.181     -1.475      4.221    0.034 
 487581.00    30.4883120414   114.5580299452     25.212     -1.753      2.482    0.033 
 487582.00    30.4883291841   114.5580111705     25.228     -2.066      1.689    0.002 
 487583.00    30.4883413943   114.5579867312     25.211     -2.694      1.252   -0.036 
 487584.00    30.4883489919   114.5579587471     25.184     -3.221      0.838   -0.030 
 487585.00    30.4883535318   114.5579238400     25.194     -3.537      0.452    0.016 
 487586.00    30.4883551816   114.5578906791     25.143     -3.091      0.175   -0.057 
 487587.00    30.4883558873   114.5578584665     25.076     -3.148      0.050   -0.071 
 487588.00    30.4883553920   114.5578266641     25.007     -3.011     -0.073   -0.078 
 487589.00    30.4883535663   114.5577968249     24.942     -2.831     -0.244   -0.065 
 487590.00    30.4883488704   114.5577685088     24.878     -2.872     -0.685   -0.047 
 487591.00    30.4883370278   114.5577398542     24.825     -3.236     -1.711   -0.069 
 487592.00    30.4883152997   114.5577127470     24.755     -2.668     -2.617   -0.081 
 487593.00    30.4882903567   114.5576962179     24.701     -1.564     -2.686   -0.032 
 487594.00    30.4882664210   114.5576893154     24.677     -0.770     -2.621   -0.033 
 487595.00    30.4882434843   114.5576887798     24.663     -0.182     -2.467   -0.016 
 487596.00    30.4882226904   114.5576896259     24.648     -0.011     -2.227   -0.002 
 487597.00    30.4882036100   114.5576903448     24.639      0.045     -2.148    0.019 
 487598.00    30.4881780620   114.5576912612     24.635      0.092     -3.580    0.001 
 487599.00    30.4881394780   114.5576922183     24.611      0.102     -4.901   -0.030 
 487600.00    30.4880910292   114.5576930586     24.578      0.069     -5.593   -0.029 
 487601.00    30.4880419451   114.5576931448     24.554     -0.004     -5.170   -0.035 
 487602.00    30.4879983312   114.5576926276     24.531     -0.046     -4.482   -0.025 
 487603.00    30.4879618957   114.5576915785     24.485     -0.105     -3.507   -0.045 
 487604.00    30.4879353135   114.5576882229     24.451     -0.312     -2.503   -0.012 
 487605.00    30.4879150619   114.5576768992     24.424     -0.863     -1.840   -0.016 
 487606.00    30.4879031025   114.5576582846     24.402     -1.286     -1.045    0.014 
 487607.00    30.4878976948   114.5576383739     24.384     -1.506     -0.537   -0.020 
 487608.00    30.4878959375   114.5576179928     24.374     -1.692     -0.253   -0.059 
 487609.00    30.4878961199   114.5575971479     24.385     -1.748      0.042    0.041 
 487610.00    30.4878973513   114.5575757544     24.409     -2.128      0.084    0.031 
 487611.00    30.4878987934   114.5575480994     24.440     -2.928      0.168    0.047 
 487612.00    30.4879005398   114.5575178699     24.473     -2.718      0.166    0.059 
 487613.00    30.4879013284   114.5574918096     24.598     -2.366      0.030    0.275 
 487614.00    30.4879015776   114.5574651078     24.472     -2.554      0.097   -0.116 
 487615.00    30.4879016704   114.5574377912     24.204     -2.762      0.007   -0.255 
 487616.00    30.4879021196   114.5574060518     23.806     -3.359      0.088   -0.568 
 487617.00    30.4879023139   114.5573681373     23.276     -3.792      0.066   -0.703 
 487618.00    30.4879022511   114.5573301227     22.732     -3.538      0.079   -0.728 
 487619.00    30.4879021240   114.5572920650     22.199     -3.796      0.036   -0.568 
 487620.00    30.4879018923   114.5572522957     21.600     -3.722     -0.018   -0.608 
