   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 486628.00    30.4817786505   114.5659554081     25.315      1.868    -12.048    0.002 
 486629.00    30.4816670497   114.5659752871     25.303      1.907    -12.694   -0.014 
 486630.00    30.4815495959   114.5659949324     25.272      1.877    -13.343   -0.018 
 486631.00    30.4814264076   114.5660136365     25.264      1.747    -13.960   -0.021 
 486632.00    30.4812978827   114.5660314253     25.302      1.748    -14.511    0.067 
 486633.00    30.4811647981   114.5660500171     25.361      1.806    -15.003    0.060 
 486634.00    30.4810273821   114.5660689284     25.451      1.828    -15.476    0.140 
 486635.00    30.4808858097   114.5660880161     25.530      1.858    -15.928    0.093 
 486636.00    30.4807423171   114.5661069084     25.586      1.782    -15.775    0.031 
 486637.00    30.4806017755   114.5661251120     25.667      1.734    -15.347    0.001 
 486638.00    30.4804650177   114.5661433114     25.664      1.721    -14.962    0.041 
 486639.00    30.4803313703   114.5661611313     25.691      1.699    -14.715   -0.028 
 486640.00    30.4801993168   114.5661787267     25.683      1.702    -14.545   -0.083 
 486641.00    30.4800686586   114.5661963293     25.647      1.687    -14.415   -0.036 
 486642.00    30.4799392531   114.5662139741     25.597      1.696    -14.287   -0.077 
 486643.00    30.4798109236   114.5662322239     25.579      1.790    -14.181   -0.020 
 486644.00    30.4796834330   114.5662511513     25.529      1.802    -14.087   -0.048 
 486645.00    30.4795569212   114.5662693874     25.501      1.723    -13.898   -0.029 
 486646.00    30.4794333130   114.5662874609     25.527      1.746    -13.523    0.012 
 486647.00    30.4793131992   114.5663056445     25.527      1.741    -13.091    0.010 
 486648.00    30.4791975721   114.5663232534     25.509      1.623    -12.442   -0.039 
 486649.00    30.4790905824   114.5663386777     25.495      1.390    -11.436   -0.045 
 486650.00    30.4789916913   114.5663522264     25.539      1.214    -10.311    0.048 
 486651.00    30.4789058667   114.5663643674     25.514      1.089     -8.730   -0.033 
 486652.00    30.4788335286   114.5663752591     25.516      0.970     -7.444    0.003 
 486653.00    30.4787719234   114.5663852320     25.499      0.880     -6.072   -0.031 
 486654.00    30.4787249816   114.5663944434     25.472      0.771     -4.328    0.001 
 486655.00    30.4786904937   114.5664028035     25.478      0.721     -3.402    0.028 
 486656.00    30.4786640981   114.5664107757     25.494      0.658     -2.586    0.031 
 486657.00    30.4786409243   114.5664194262     25.511      0.795     -2.567    0.013 
 486658.00    30.4786200265   114.5664296103     25.540      0.882     -2.158   -0.011 
 486659.00    30.4786026083   114.5664416443     25.553      1.002     -1.794    0.005 
 486660.00    30.4785878082   114.5664546956     25.552      1.228     -1.727    0.006 
 486661.00    30.4785716946   114.5664689731     25.555      1.386     -1.969   -0.014 
 486662.00    30.4785506334   114.5664836329     25.551      1.427     -2.377   -0.020 
 486663.00    30.4785277238   114.5664960134     25.549      1.274     -2.672   -0.015 
 486664.00    30.4785017282   114.5665065353     25.567      1.115     -3.043   -0.003 
 486665.00    30.4784721357   114.5665169433     25.551      1.045     -3.339   -0.038 
 486666.00    30.4784474722   114.5665268196     25.514      0.681     -1.943   -0.024 
 486667.00    30.4784307871   114.5665349921     25.494      0.781     -1.896   -0.017 
 486668.00    30.4784137424   114.5665454832     25.458      0.970     -1.903   -0.049 
 486669.00    30.4783968716   114.5665593434     25.423      1.365     -2.044   -0.046 
 486670.00    30.4783787768   114.5665792977     25.374      2.027     -2.163   -0.049 
 486671.00    30.4783597123   114.5666103579     25.300      3.394     -2.299   -0.098 
 486672.00    30.4783418647   114.5666557051     25.208      4.743     -1.923   -0.102 
 486673.00    30.4783286743   114.5667145373     25.087      6.108     -1.409   -0.081 
 486674.00    30.4783190535   114.5667847854     24.962      7.128     -0.859   -0.167 
 486675.00    30.4783144805   114.5668639647     24.801      7.905     -0.346   -0.163 
 486676.00    30.4783137614   114.5669503057     24.648      8.601      0.032   -0.157 
 486677.00    30.4783148931   114.5670435729     24.499      9.260      0.157   -0.145 
 486678.00    30.4783161714   114.5671433861     24.336      9.881      0.123   -0.148 
 486679.00    30.4783168188   114.5672495790     24.154     10.538      0.017   -0.244 
 486680.00    30.4783160589   114.5673624037     23.950     11.030     -0.139   -0.190 
 486681.00    30.4783142616   114.5674763347     23.767     10.846     -0.236   -0.180 
 486682.00    30.4783123051   114.5675878052     23.573     10.525     -0.181   -0.209 
 486683.00    30.4783114813   114.5676952721     23.402     10.155     -0.006   -0.180 
 486684.00    30.4783120974   114.5678000018     23.231      9.935      0.104   -0.202 
 486685.00    30.4783134043   114.5679022347     23.062      9.697      0.173   -0.161 
 486686.00    30.4783163358   114.5680022936     22.882      9.532      0.436   -0.168 
 486687.00    30.4783217012   114.5681017295     22.711      9.526      0.696   -0.175 
 486688.00    30.4783290343   114.5682026185     22.557      9.865      0.856   -0.162 
 486689.00    30.4783358214   114.5683081420     22.390     10.432      0.639   -0.152 
 486690.00    30.4783401068   114.5684193701     22.224     10.991      0.357   -0.138 
 486691.00    30.4783417831   114.5685368608     22.036     11.562      0.103   -0.229 
 486692.00    30.4783417710   114.5686577259     21.836     11.637     -0.072   -0.189 
 486693.00    30.4783411037   114.5687815238     21.645     12.115     -0.081   -0.230 
 486694.00    30.4783401176   114.5689092979     21.421     12.521     -0.149   -0.227 
 486695.00    30.4783389448   114.5690417142     21.191     12.776     -0.112   -0.147 
 486696.00    30.4783383569   114.5691752389     20.977     12.860     -0.039   -0.214 
 486697.00    30.4783383558   114.5693109779     20.668     13.230      0.020   -0.437 
 486698.00    30.4783388374   114.5694500631     20.495     13.377      0.116   -0.287 
 486699.00    30.4783393631   114.5695885621     20.258     13.287      0.038   -0.255 
 486700.00    30.4783389369   114.5697271349     20.031     13.378     -0.108   -0.236 
 486701.00    30.4783373799   114.5698673100     19.805     13.580     -0.221   -0.232 
 486702.00    30.4783348181   114.5700098845     19.571     13.843     -0.298   -0.261 
 486703.00    30.4783328419   114.5701561508     19.320     14.266     -0.146   -0.250 
 486704.00    30.4783325643   114.5703076608     19.055     14.785      0.021   -0.231 
 486705.00    30.4783332304   114.5704641911     18.797     15.205      0.119   -0.299 
 486706.00    30.4783341808   114.5706233863     18.528     15.454      0.092   -0.240 
 486707.00    30.4783347676   114.5707857136     18.281     15.722      0.037   -0.276 
 486708.00    30.4783346008   114.5709494824     18.057     15.804     -0.038   -0.216 
 486709.00    30.4783338722   114.5711147614     17.893     15.982     -0.116   -0.103 
 486710.00    30.4783326740   114.5712821135     17.797     16.156     -0.155   -0.069 
 486711.00    30.4783312785   114.5714510291     17.722     16.301     -0.127   -0.067 
 486712.00    30.4783306288   114.5716215265     17.650     16.455     -0.036   -0.076 
 486713.00    30.4783306994   114.5717938933     17.592     16.637      0.014   -0.048 
 486714.00    30.4783308353   114.5719678523     17.521     16.771      0.035   -0.098 
 486715.00    30.4783311293   114.5721430066     17.443     16.895      0.048   -0.073 
 486716.00    30.4783316216   114.5723196997     17.331     16.967      0.018   -0.075 
 486717.00    30.4783307366   114.5724962586     17.241     17.020     -0.158   -0.108 
 486718.00    30.4783291470   114.5726746428     17.148     17.216     -0.158   -0.109 
 486719.00    30.4783278759   114.5728531878     17.082     17.031     -0.114   -0.096 
 486720.00    30.4783269666   114.5730297466     16.997     16.854     -0.070   -0.085 
 486721.00    30.4783268694   114.5732036450     16.901     16.542      0.068   -0.041 
 486722.00    30.4783272321   114.5733743454     16.837     16.271      0.065   -0.078 
 486723.00    30.4783281635   114.5735429033     16.756     16.107      0.137   -0.091 
 486724.00    30.4783293227   114.5737098096     16.685     15.970      0.048   -0.049 
 486725.00    30.4783289791   114.5738751438     16.635     15.829     -0.142   -0.026 
 486726.00    30.4783266203   114.5740394330     16.569     15.759     -0.299   -0.057 
 486727.00    30.4783235396   114.5742034436     16.468     15.748     -0.334   -0.113 
 486728.00    30.4783206240   114.5743675961     16.358     15.774     -0.300   -0.047 
 486729.00    30.4783181482   114.5745318904     16.349     15.754     -0.214   -0.031 
 486730.00    30.4783164792   114.5746963932     16.266     15.802     -0.146   -0.051 
 486731.00    30.4783157498   114.5748614488     16.186     15.858     -0.051   -0.052 
 486732.00    30.4783151698   114.5750272158     16.117     15.939     -0.077   -0.048 
 486733.00    30.4783141092   114.5751936544     16.078     16.024     -0.152   -0.005 
 486734.00    30.4783128359   114.5753608437     16.116     16.084     -0.126    0.043 
 486735.00    30.4783116595   114.5755287335     16.183     16.152     -0.112    0.090 
 486736.00    30.4783108284   114.5756971593     16.278     16.191     -0.065    0.141 
 486737.00    30.4783107878   114.5758664897     16.417     16.305      0.031    0.163 
 486738.00    30.4783113525   114.5760373475     16.508     16.522      0.046    0.087 
 486739.00    30.4783118321   114.5762107700     16.596     16.778      0.042    0.122 
 486740.00    30.4783123518   114.5763869967     16.708     17.058      0.060    0.071 
 486741.00    30.4783123552   114.5765659994     16.805     17.338     -0.079    0.100 
 486742.00    30.4783106900   114.5767477743     16.919     17.601     -0.246    0.099 
 486743.00    30.4783083355   114.5769324886     17.014     17.867     -0.266    0.129 
 486744.00    30.4783060862   114.5771197142     17.118     17.967     -0.251    0.151 
 486745.00    30.4783039536   114.5773065193     17.224     17.997     -0.232    0.100 
 486746.00    30.4783019910   114.5774945587     17.312     18.041     -0.202    0.143 
 486747.00    30.4783004788   114.5776825639     17.400     18.074     -0.124   -0.127 
 486748.00    30.4782991015   114.5778690484     17.512     17.867     -0.159    0.165 
 486749.00    30.4782980216   114.5780553243     17.612     17.914     -0.035   -0.063 
 486750.00    30.4782978893   114.5782418750     17.738     17.917      0.015    0.151 
 486751.00    30.4782981450   114.5784272375     17.868     17.602      0.024    0.144 
 486752.00    30.4782982224   114.5786082326     17.966     17.162     -0.015    0.078 
 486753.00    30.4782975753   114.5787845821     18.070     16.699     -0.109    0.136 
 486754.00    30.4782960542   114.5789563565     18.190     16.276     -0.172    0.112 
 486755.00    30.4782942145   114.5791238333     18.274     15.888     -0.151    0.079 
 486756.00    30.4782941660   114.5792880601     18.378     15.605      0.023    0.102 
 486757.00    30.4782937585   114.5794483820     18.477     15.181     -0.031    0.068 
 486758.00    30.4782940918   114.5796019943     18.553     14.359      0.035    0.143 
 486759.00    30.4782945788   114.5797461228     18.649     13.140      0.035    0.083 
 486760.00    30.4782942681   114.5798735642     18.716     11.269     -0.049    0.101 
 486761.00    30.4782944152   114.5799766757     18.763      8.330      0.041    0.063 
 486762.00    30.4782951786   114.5800448745     18.806      4.679      0.075    0.012 
 486763.00    30.4782956979   114.5800755286     18.824      1.778      0.034    0.021 
 486764.00    30.4782958703   114.5800851836     18.829      0.096     -0.005    0.018 
 486765.00    30.4782958666   114.5800850073     18.838      0.006      0.014   -0.026 
 486766.00    30.4782958673   114.5800850017     18.838     -0.002     -0.008    0.013 
 486767.00    30.4782958701   114.5800850001     18.838     -0.004     -0.003    0.005 
 486768.00    30.4782958728   114.5800849983     18.836      0.001      0.011   -0.029 
 486769.00    30.4782958779   114.5800849951     18.835      0.001     -0.004    0.016 
 486770.00    30.4782958823   114.5800849937     18.834      0.005     -0.013    0.029 
 486771.00    30.4782958848   114.5800849896     18.833      0.002     -0.012    0.028 
 486772.00    30.4782958821   114.5800849885     18.834     -0.002     -0.006    0.012 
 486773.00    30.4782958733   114.5800849914     18.835     -0.003      0.001   -0.005 
 486774.00    30.4782958707   114.5800849954     18.837     -0.001      0.002   -0.003 
 486775.00    30.4782958711   114.5800850003     18.838     -0.003     -0.003    0.002 
 486776.00    30.4782958676   114.5800850050     18.839     -0.001      0.002   -0.002 
 486777.00    30.4782958701   114.5800850075     18.840      0.003     -0.000   -0.001 
 486778.00    30.4782958685   114.5800850110     18.840      0.002      0.001   -0.002 
 486779.00    30.4782958662   114.5800850209     18.840     -0.003     -0.007    0.013 
 486780.00    30.4782958646   114.5800850241     18.840     -0.001      0.007   -0.018 
 486781.00    30.4782958645   114.5800850235     18.839      0.001      0.017   -0.035 
 486782.00    30.4782958652   114.5800850220     18.839     -0.003      0.015   -0.035 
 486783.00    30.4782958649   114.5800850214     18.839     -0.002      0.016   -0.034 
 486784.00    30.4782958628   114.5800850197     18.839     -0.001      0.011   -0.025 
 486785.00    30.4782958588   114.5800850155     18.838     -0.002      0.006   -0.010 
 486786.00    30.4782958601   114.5800850074     18.839      0.001      0.007   -0.012 
 486787.00    30.4782958570   114.5800850047     18.839      0.005      0.008   -0.015 
 486788.00    30.4782958584   114.5800850079     18.839      0.006      0.013   -0.025 
 486789.00    30.4782958624   114.5800850125     18.839      0.002      0.015   -0.031 
 486790.00    30.4782958689   114.5800850167     18.839     -0.002      0.018   -0.036 
 486791.00    30.4782958734   114.5800850149     18.838     -0.000      0.017   -0.037 
 486792.00    30.4782958767   114.5800850093     18.837     -0.003      0.004   -0.012 
 486793.00    30.4782958840   114.5800850005     18.835     -0.002     -0.008    0.013 
 486794.00    30.4782958883   114.5800849979     18.834     -0.001     -0.012    0.023 
 486795.00    30.4782958867   114.5800850040     18.833      0.007     -0.007    0.014 
 486796.00    30.4782958800   114.5800850128     18.832      0.006      0.003   -0.004 
 486797.00    30.4782958749   114.5800850213     18.831      0.010     -0.014    0.025 
 486798.00    30.4782958726   114.5800850217     18.830      0.001      0.012   -0.022 
 486799.00    30.4782958758   114.5800850214     18.830      0.001     -0.007    0.018 
 486800.00    30.4782958774   114.5800850196     18.829      0.000      0.017   -0.034 
 486801.00    30.4782958787   114.5800850194     18.829     -0.004     -0.008    0.012 
 486802.00    30.4782958822   114.5800850157     18.828      0.001      0.020   -0.039 
 486803.00    30.4782958894   114.5800850110     18.829     -0.010     -0.007    0.013 
 486804.00    30.4782958953   114.5800850084     18.829      0.001      0.012   -0.021 
 486805.00    30.4782958938   114.5800850087     18.829     -0.004     -0.014    0.028 
 486806.00    30.4782958883   114.5800850119     18.830      0.007      0.007   -0.014 
 486807.00    30.4782958841   114.5800850129     18.830      0.002     -0.009    0.018 
 486808.00    30.4782958807   114.5800850155     18.831     -0.002     -0.013    0.030 
 486809.00    30.4782958768   114.5800850158     18.832      0.004      0.002   -0.002 
 486810.00    30.4782958731   114.5800850145     18.831     -0.001     -0.005    0.008 
 486811.00    30.4782958697   114.5800850129     18.830      0.003      0.013   -0.029 
 486812.00    30.4782958663   114.5800850153     18.829     -0.002     -0.007    0.009 
 486813.00    30.4782958673   114.5800850150     18.828      0.001      0.016   -0.028 
 486814.00    30.4782958712   114.5800850173     18.827      0.003     -0.007    0.012 
 486815.00    30.4782958798   114.5800850175     18.827      0.001      0.012   -0.022 
 486816.00    30.4782958832   114.5800850167     18.828      0.005     -0.016    0.035 
 486817.00    30.4782958831   114.5800850129     18.828      0.003      0.008   -0.016 
 486818.00    30.4782958759   114.5800850146     18.830     -0.001     -0.012    0.025 
 486819.00    30.4782958759   114.5800852913     18.831      0.123      0.008   -0.006 
 486820.00    30.4782960461   114.5800924877     18.840      1.478      0.043    0.011 
 486821.00    30.4782968119   114.5801174677     18.851      3.349      0.120    0.021 
 486822.00    30.4782981809   114.5801620792     18.858      5.187      0.165   -0.011 
 486823.00    30.4782997141   114.5802240442     18.874      6.691      0.177    0.054 
 486824.00    30.4783006639   114.5803001893     18.896      7.962      0.050   -0.005 
 486825.00    30.4782996951   114.5803885971     18.906      9.000     -0.178    0.008 
 486826.00    30.4782975767   114.5804871059     18.894      9.921     -0.212    0.028 
 486827.00    30.4782956337   114.5805955559     18.867     10.864     -0.214   -0.036 
 486828.00    30.4782938296   114.5807120548     18.825     11.258     -0.161   -0.013 
 486829.00    30.4782927160   114.5808284568     18.773     11.119     -0.101    0.028 
 486830.00    30.4782921886   114.5809448730     18.763     11.298     -0.003   -0.065 
 486831.00    30.4782916225   114.5810644194     18.701     11.644     -0.080   -0.038 
 486832.00    30.4782908521   114.5811878332     18.641     12.073     -0.084   -0.088 
 486833.00    30.4782899431   114.5813154017     18.597     12.437     -0.089   -0.055 
 486834.00    30.4782898908   114.5814471244     18.561     12.828      0.056   -0.006 
 486835.00    30.4782906154   114.5815826328     18.518     13.150      0.089   -0.056 
 486836.00    30.4782913212   114.5817207982     18.499     13.399      0.061   -0.004 
 486837.00    30.4782912119   114.5818619175     18.451     13.725     -0.091   -0.030 
 486838.00    30.4782897826   114.5820065103     18.397     14.012     -0.174   -0.092 
 486839.00    30.4782879370   114.5821519907     18.333     13.953     -0.213   -0.031 
 486840.00    30.4782866994   114.5822983182     18.277     14.157     -0.105   -0.010 
 486841.00    30.4782859197   114.5824472494     18.225     14.442     -0.106   -0.049 
 486842.00    30.4782848937   114.5825989765     18.167     14.695     -0.096   -0.082 
 486843.00    30.4782841099   114.5827523584     18.090     14.746     -0.055   -0.095 
 486844.00    30.4782836742   114.5829067093     18.051     14.872     -0.029   -0.057 
 486845.00    30.4782830314   114.5830606743     17.964     14.747     -0.082   -0.217 
 486846.00    30.4782817321   114.5832148125     17.720     14.908     -0.132   -0.245 
 486847.00    30.4782807318   114.5833715775     17.501     15.210     -0.128   -0.177 
 486848.00    30.4782793457   114.5835316541     17.292     15.548     -0.192   -0.211 
 486849.00    30.4782779454   114.5836953658     17.071     15.891     -0.082   -0.228 
 486850.00    30.4782777172   114.5838628492     16.845     16.254      0.010   -0.287 
 486851.00    30.4782779668   114.5840341804     16.607     16.656      0.053   -0.268 
 486852.00    30.4782782729   114.5842093259     16.379     16.975      0.008   -0.212 
 486853.00    30.4782780679   114.5843879463     16.122     17.323     -0.052   -0.264 
 486854.00    30.4782771131   114.5845698155     15.867     17.606     -0.149   -0.252 
 486855.00    30.4782753125   114.5847544360     15.591     17.873     -0.241   -0.316 
 486856.00    30.4782730231   114.5849417710     15.322     18.085     -0.256   -0.237 
 486857.00    30.4782711494   114.5851305561     15.091     18.078     -0.163   -0.240 
 486858.00    30.4782704620   114.5853174446     14.846     17.830     -0.017   -0.204 
 486859.00    30.4782702603   114.5855028036     14.606     17.820     -0.023   -0.369 
 486860.00    30.4782694734   114.5856884432     14.377     17.835     -0.091   -0.135 
 486861.00    30.4782687889   114.5858734008     14.294     17.662     -0.067   -0.052 
 486862.00    30.4782682659   114.5860564123     14.263     17.489     -0.050    0.032 
 486863.00    30.4782679841   114.5862379523     14.347     17.382     -0.030    0.132 
 486864.00    30.4782677928   114.5864178945     14.497     17.185     -0.033    0.164 
 486865.00    30.4782674826   114.5865961752     14.611     17.039     -0.016    0.122 
 486866.00    30.4782670612   114.5867729433     14.761     16.882     -0.064    0.160 
 486867.00    30.4782660386   114.5869477853     14.929     16.715     -0.180    0.226 
 486868.00    30.4782634901   114.5871208373     15.072     16.561     -0.330    0.128 
 486869.00    30.4782612994   114.5872928279     15.218     16.460     -0.160    0.167 
 486870.00    30.4782607002   114.5874635144     15.360     16.247      0.010    0.102 
 486871.00    30.4782608654   114.5876304916     15.521     15.866      0.029    0.147 
 486872.00    30.4782612710   114.5877934428     15.670     15.477      0.039    0.170 
 486873.00    30.4782611643   114.5879529602     15.818     15.170     -0.086    0.203 
 486874.00    30.4782596972   114.5881096811     15.940     14.936     -0.219    0.121 
 486875.00    30.4782580004   114.5882650160     16.081     14.891     -0.154    0.158 
 486876.00    30.4782571224   114.5884188480     16.229     14.573     -0.058    0.143 
 486877.00    30.4782569321   114.5885698012     16.383     14.488      0.002    0.158 
 486878.00    30.4782571812   114.5887207805     16.548     14.446      0.044    0.172 
 486879.00    30.4782576737   114.5888707929     16.662     14.379      0.031    0.096 
 486880.00    30.4782575548   114.5890199701     16.755     14.267     -0.080    0.133 
 486881.00    30.4782565006   114.5891676462     16.868     14.126     -0.185    0.123 
 486882.00    30.4782543786   114.5893137271     17.015     13.916     -0.284    0.187 
 486883.00    30.4782514162   114.5894569153     17.130     13.652     -0.343    0.072 
 486884.00    30.4782491285   114.5895980940     17.261     13.441     -0.159    0.108 
 486885.00    30.4782482132   114.5897363166     17.373     13.074     -0.077    0.099 
 486886.00    30.4782478852   114.5898702173     17.498     12.639     -0.001    0.116 
 486887.00    30.4782482235   114.5899995310     17.619     12.184      0.075    0.092 
 486888.00    30.4782488989   114.5901249905     17.726     12.035      0.064    0.149 
 486889.00    30.4782493864   114.5902516153     17.848     12.287      0.049    0.108 
 486890.00    30.4782494580   114.5903792171     17.969     12.166     -0.018    0.138 
 486891.00    30.4782490512   114.5905062928     18.094     12.330     -0.025    0.038 
 486892.00    30.4782483166   114.5906361889     18.203     12.594     -0.106    0.160 
 486893.00    30.4782473501   114.5907680717     18.317     12.746     -0.098    0.096 
 486894.00    30.4782464746   114.5909000000     18.423     12.493     -0.089    0.101 
 486895.00    30.4782457540   114.5910274364     18.536     11.805     -0.070    0.141 
 486896.00    30.4782451649   114.5911421295     18.656     10.153     -0.054    0.106 
 486897.00    30.4782448676   114.5912336951     18.749      7.111     -0.019    0.084 
 486898.00    30.4782448106   114.5912874345     18.806      3.108      0.001    0.038 
 486899.00    30.4782448119   114.5913018779     18.824     -0.171     -0.018    0.032 
 486900.00    30.4782447927   114.5913015460     18.839      0.000     -0.011    0.026 
 486901.00    30.4782447876   114.5913015296     18.839      0.001     -0.007    0.014 
 486902.00    30.4782447862   114.5913015327     18.839     -0.001     -0.012    0.025 
 486903.00    30.4782447879   114.5913015349     18.838     -0.001     -0.003    0.005 
 486904.00    30.4782447890   114.5913015407     18.837      0.001      0.013   -0.027 
 486905.00    30.4782447877   114.5913015437     18.837      0.002      0.006   -0.006 
