   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 483911.00    30.4889085184   114.5663928929     34.502     -0.007      0.001    0.003 
 483912.00    30.4889085121   114.5663928959     34.502     -0.010     -0.008    0.003 
 483913.00    30.4889085088   114.5663929027     34.501      0.002      0.036   -0.008 
 483914.00    30.4889085081   114.5663929000     34.501     -0.010     -0.031    0.009 
 483915.00    30.4889085149   114.5663928988     34.502      0.005      0.016   -0.002 
 483916.00    30.4889085253   114.5663928975     34.503      0.011      0.025   -0.006 
 483917.00    30.4889085285   114.5663928953     34.503      0.003     -0.028    0.005 
 483918.00    30.4889085341   114.5663928910     34.504      0.002      0.038   -0.006 
 483919.00    30.4889085387   114.5663928917     34.504     -0.008     -0.002    0.003 
 483920.00    30.4889085404   114.5663929000     34.504     -0.001      0.003    0.000 
 483921.00    30.4889085386   114.5663928974     34.504     -0.009     -0.006    0.004 
 483922.00    30.4889085338   114.5663928982     34.504      0.003     -0.011    0.000 
 483923.00    30.4889085275   114.5663928930     34.504     -0.005     -0.011    0.005 
 483924.00    30.4889085252   114.5663928941     34.504     -0.004     -0.009    0.007 
 483925.00    30.4889085272   114.5663928881     34.505      0.000     -0.035    0.009 
 483926.00    30.4889085330   114.5663928861     34.506      0.000      0.009   -0.000 
 483927.00    30.4889085396   114.5663928863     34.506     -0.002     -0.007    0.004 
 483928.00    30.4889085413   114.5663928815     34.506     -0.005     -0.017    0.003 
 483929.00    30.4889085357   114.5663928801     34.506     -0.006     -0.027    0.005 
 483930.00    30.4889085283   114.5663928783     34.506     -0.011     -0.017    0.005 
 483931.00    30.4889085215   114.5663928769     34.507     -0.006     -0.011    0.005 
 483932.00    30.4889085178   114.5663928778     34.507      0.005      0.020   -0.004 
 483933.00    30.4889085186   114.5663928738     34.508      0.009      0.028   -0.005 
 483934.00    30.4889085230   114.5663928725     34.508      0.012     -0.007   -0.001 
 483935.00    30.4889085271   114.5663928721     34.508     -0.003     -0.009    0.002 
 483936.00    30.4889085299   114.5663928766     34.507     -0.005     -0.018    0.004 
 483937.00    30.4889085274   114.5663928703     34.507     -0.012     -0.010    0.003 
 483938.00    30.4889084609   114.5663934454     34.508      0.340     -0.054   -0.007 
 483939.00    30.4889068944   114.5664054462     34.527      2.042     -0.295    0.031 
 483940.00    30.4889029610   114.5664358564     34.570      3.812     -0.569    0.056 
 483941.00    30.4888967874   114.5664838838     34.642      5.382     -0.798    0.082 
 483942.00    30.4888889018   114.5665423614     34.717      5.532     -0.894    0.073 
 483943.00    30.4888804366   114.5666000787     34.777      5.756     -1.027    0.065 
 483944.00    30.4888704890   114.5666641417     34.845      6.619     -1.184    0.086 
 483945.00    30.4888594585   114.5667372798     34.934      7.231     -1.208    0.098 
 483946.00    30.4888487193   114.5668107892     35.020      7.074     -1.193    0.088 
 483947.00    30.4888378626   114.5668872876     35.116      7.709     -1.228    0.128 
 483948.00    30.4888263277   114.5669710135     35.224      8.362     -1.276    0.105 
 483949.00    30.4888152478   114.5670615757     35.322      8.970     -1.156    0.135 
 483950.00    30.4888065888   114.5671579721     35.474      9.440     -0.938    0.139 
 483951.00    30.4887980110   114.5672577812     35.603      9.683     -0.951    0.135 
 483952.00    30.4887897460   114.5673568804     35.749      9.263     -0.938    0.124 
 483953.00    30.4887816855   114.5674521832     35.870      9.168     -0.887    0.092 
 483954.00    30.4887747362   114.5675464112     35.978      8.910     -0.616    0.127 
 483955.00    30.4887715728   114.5676391423     36.090      8.782     -0.008    0.154 
 483956.00    30.4887725785   114.5677308442     36.201      8.910      0.084    0.117 
 483957.00    30.4887730882   114.5678246609     36.352      9.150     -0.013    0.126 
 483958.00    30.4887722901   114.5679209863     36.490      9.257     -0.195    0.153 
 483959.00    30.4887690939   114.5680169130     36.634      9.314     -0.551    0.139 
 483960.00    30.4887629801   114.5681137825     36.766      9.340     -0.815    0.097 
 483961.00    30.4887547590   114.5682104264     36.905      9.348     -0.950    0.114 
 483962.00    30.4887447982   114.5683092849     37.029      9.638     -1.216    0.114 
 483963.00    30.4887321614   114.5684108688     37.135      9.879     -1.485    0.124 
 483964.00    30.4887184968   114.5685154292     37.253     10.179     -1.568    0.137 
 483965.00    30.4887039386   114.5686229042     37.361     10.469     -1.663    0.097 
 483966.00    30.4886882005   114.5687323837     37.446     10.410     -1.865    0.084 
 483967.00    30.4886715172   114.5688410001     37.541     10.562     -1.883    0.060 
 483968.00    30.4886543541   114.5689522187     37.620     10.751     -1.879    0.119 
 483969.00    30.4886370921   114.5690655814     37.693     10.974     -1.914    0.065 
 483970.00    30.4886199372   114.5691800540     37.752     10.910     -1.914    0.062 
 483971.00    30.4886034576   114.5692940329     37.804     11.015     -1.814    0.054 
