
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
455687.000    30.4858396270   114.5634940993     24.123    4.38321993    0.70014293  180.32349045 
455688.000    30.4858203343   114.5634936689     24.091    4.27591905    0.69661572  179.38159940 
455689.000    30.4858011777   114.5634936160     24.052    4.33756835    0.72187632  178.40453058 
455690.000    30.4857820309   114.5634939639     24.010    4.33404643    0.71605083  177.43208919 
455691.000    30.4857611709   114.5634948281     23.966    4.33761244    0.88826960  176.26869129 
455692.000    30.4857369511   114.5634965426     23.922    4.35448875    0.97731236  174.77151016 
455693.000    30.4857122664   114.5634988101     23.883    4.26926157    0.91856383  173.68742253 
455694.000    30.4856890521   114.5635009714     23.856    4.26168060    1.08037841  173.34715204 
455695.000    30.4856674910   114.5635028104     23.826    4.00752527    0.90599571  173.57080297 
455696.000    30.4856477157   114.5635043114     23.792    4.11303873    0.93927197  173.83448306 
455697.000    30.4856291738   114.5635058790     23.763    4.27852613    0.89216603  173.62344138 
455698.000    30.4856100532   114.5635076281     23.732    4.30572080    0.84778586  173.37401265 
455699.000    30.4855908798   114.5635094837     23.705    4.20549708    0.90908145  173.13142994 
455700.000    30.4855720294   114.5635114002     23.673    4.13494960    0.90713395  172.90269077 
455701.000    30.4855531009   114.5635134141     23.638    4.14813032    0.82257997  172.66149243 
455702.000    30.4855342051   114.5635155542     23.604    4.16383183    0.87854925  172.41434404 
455703.000    30.4855121670   114.5635181247     23.569    3.97870801    1.15897702  172.20074571 
455704.000    30.4854819488   114.5635217219     23.523    3.77892453    1.25255118  172.03284936 
455705.000    30.4854456820   114.5635261016     23.466    3.66777485    0.85649767  171.90520770 
455706.000    30.4854134378   114.5635299401     23.421    3.70094526    0.87790108  171.94044203 
455707.000    30.4853867626   114.5635327846     23.394    3.80883715    1.12482185  172.34712354 
455708.000    30.4853628480   114.5635349444     23.375    3.86599185    1.31150390  173.08334675 
455709.000    30.4853421406   114.5635365395     23.357    4.17087325    1.09899135  173.62232554 
455710.000    30.4853263965   114.5635380090     23.341    4.25962000    1.14657893  173.39904363 
455711.000    30.4853160042   114.5635389548     23.329    4.27184150    1.19853608  173.36829375 
455712.000    30.4853122557   114.5635392947     23.323    4.29430345    1.18252399  173.36717716 
455713.000    30.4853122899   114.5635392896     23.323    4.30152483    1.35807448  173.36242821 
455714.000    30.4853122023   114.5635392981     23.323    4.29848462    1.36444131  173.35631133 
455715.000    30.4853119980   114.5635393125     23.324    4.31170818    1.36127434  173.35622662 
455716.000    30.4853118237   114.5635393215     23.325    4.31780731    1.35932798  173.35350197 
