
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453582.000    30.4608983495   114.5688224028     18.882    4.16617689    2.94512214  291.74063597 
453583.000    30.4609824764   114.5685799044     19.459    4.37561859    2.97287808  291.40100762 
453584.000    30.4610650646   114.5683367713     20.037    3.97259119    3.09241616  291.04271149 
453585.000    30.4611465328   114.5680930116     20.647    3.91305500    3.09633678  290.69523672 
453586.000    30.4612266847   114.5678489758     21.174    3.96031143    3.07350133  290.32708541 
453587.000    30.4613051456   114.5676050277     21.722    3.74422470    2.82186197  289.91370941 
453588.000    30.4613821615   114.5673602499     22.203    3.82029665    2.77464217  289.44893962 
453589.000    30.4614579596   114.5671141923     22.652    3.90644995    2.67507812  289.08584511 
453590.000    30.4615327339   114.5668666112     23.038    4.27026303    2.44072397  288.56610839 
453591.000    30.4616059163   114.5666169313     23.389    4.51610518    2.50833069  288.10824286 
453592.000    30.4616783780   114.5663652639     23.705    4.34144870    2.46610252  287.77713283 
453593.000    30.4617499219   114.5661115065     23.977    3.98530380    2.36803974  287.35165481 
453594.000    30.4618203977   114.5658553039     24.202    3.79818583    2.18565231  286.96498516 
453595.000    30.4618909545   114.5655973453     24.376    3.78237801    2.01832626  286.88786451 
453596.000    30.4619612628   114.5653390746     24.523    3.94198406    1.98462986  286.77073005 
453597.000    30.4620308962   114.5650832851     24.610    3.71789050    1.77068233  286.82490987 
453598.000    30.4620998476   114.5648304336     24.675    4.02744714    1.79731945  286.71035823 
453599.000    30.4621666856   114.5645795023     24.691    4.08743307    1.64140231  286.22305632 
453600.000    30.4622316489   114.5643305743     24.652    3.99250210    1.45081883  285.95563919 
453601.000    30.4622949165   114.5640838215     24.596    4.14702681    1.43217063  285.68506243 
453602.000    30.4623566315   114.5638386341     24.507    3.95443427    1.31737865  285.40487314 
453603.000    30.4624167864   114.5635953464     24.421    4.27969130    1.18277997  285.02991556 
453604.000    30.4624747609   114.5633557948     24.364    4.12600462    1.33393724  284.76167413 
453605.000    30.4625307775   114.5631201316     24.280    4.06630979    1.28664887  284.55047595 
453606.000    30.4625855328   114.5628879164     24.208    4.10412597    1.31227785  284.46371371 
453607.000    30.4626396793   114.5626575530     24.143    4.03253147    1.37936467  284.39130024 
453608.000    30.4626935820   114.5624276950     24.113    3.95642655    1.43869329  284.37002950 
453609.000    30.4627477739   114.5621980095     24.087    3.80982619    1.49372375  284.48925369 
453610.000    30.4628024068   114.5619683249     24.053    3.79868187    1.43182301  284.53681930 
453611.000    30.4628574311   114.5617367769     23.995    3.90574771    1.48788327  284.37088927 
453612.000    30.4629125528   114.5615020097     23.906    3.97899845    1.50522039  284.21146727 
453613.000    30.4629685448   114.5612637271     23.782    3.81295006    1.52855928  284.29732561 
453614.000    30.4630258341   114.5610219719     23.682    3.82867968    1.54589213  284.38243674 
453615.000    30.4630842687   114.5607768296     23.592    3.90359804    1.55147098  284.42109604 
453616.000    30.4631435449   114.5605285303     23.499    3.87403635    1.49816984  284.41845658 
