
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473287.000    30.4890927783   114.5648858582     32.435     -0.626      5.189   -0.049 
473288.000    30.4890855529   114.5649423242     32.390     -0.897      5.729   -0.044 
473289.000    30.4890769847   114.5650046282     32.363     -0.991      6.248   -0.018 
473290.000    30.4890676432   114.5650722397     32.363     -1.060      6.726    0.006 
473291.000    30.4890579229   114.5651438583     32.362     -1.075      6.986    0.002 
473292.000    30.4890476988   114.5652179480     32.372     -1.167      7.187    0.036 
473293.000    30.4890369831   114.5652930753     32.400     -1.203      7.185    0.036 
473294.000    30.4890262966   114.5653676019     32.416     -1.150      7.109    0.019 
473295.000    30.4890159788   114.5654410180     32.447     -1.122      6.977    0.053 
473296.000    30.4890060329   114.5655124049     32.501     -1.083      6.699    0.064 
473297.000    30.4889965189   114.5655807913     32.553     -1.008      6.413    0.046 
473298.000    30.4889882566   114.5656460484     32.608     -0.828      6.085    0.061 
473299.000    30.4889816392   114.5657089550     32.679     -0.671      6.034    0.056 
473300.000    30.4889759921   114.5657716984     32.747     -0.577      5.920    0.060 
473301.000    30.4889710506   114.5658298980     32.806     -0.504      5.223    0.066 
473302.000    30.4889669281   114.5658796364     32.873     -0.421      4.312    0.071 
473303.000    30.4889636316   114.5659198800     32.926     -0.337      3.543    0.049 
473304.000    30.4889608693   114.5659546927     32.974     -0.280      3.052    0.039 
473305.000    30.4889586311   114.5659827918     33.013     -0.245      2.573    0.027 
473306.000    30.4889565325   114.5660090224     33.051     -0.218      2.431    0.038 
473307.000    30.4889545835   114.5660332938     33.086     -0.215      2.229    0.041 
473308.000    30.4889525608   114.5660562250     33.122     -0.278      2.188    0.051 
473309.000    30.4889502087   114.5660781313     33.156     -0.273      1.958    0.020 
473310.000    30.4889477169   114.5660975011     33.185     -0.319      1.837    0.029 
473311.000    30.4889451023   114.5661152590     33.210     -0.311      1.571    0.030 
473312.000    30.4889428744   114.5661291059     33.229     -0.219      1.115    0.009 
473313.000    30.4889413469   114.5661383522     33.239     -0.138      0.671    0.013 
473314.000    30.4889405904   114.5661430531     33.245     -0.074      0.256    0.005 
473315.000    30.4889404714   114.5661438656     33.245     -0.014      0.013   -0.004 
473316.000    30.4889404736   114.5661438595     33.244     -0.053      0.009    0.011 
473317.000    30.4889404763   114.5661438629     33.243      0.046     -0.007   -0.010 
473318.000    30.4889404797   114.5661438670     33.241      0.018      0.009   -0.013 
473319.000    30.4889404780   114.5661438671     33.240     -0.043      0.009    0.003 
