
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473287.000    30.4890958059   114.5648922345     31.863     -0.596      5.241   -0.051 
473288.000    30.4890883173   114.5649488866     31.821     -0.892      5.737   -0.044 
473289.000    30.4890797135   114.5650112130     31.795     -0.998      6.245   -0.023 
473290.000    30.4890703770   114.5650788300     31.795     -1.059      6.713    0.017 
473291.000    30.4890606464   114.5651504285     31.791     -1.089      7.001   -0.028 
473292.000    30.4890504139   114.5652245469     31.804     -1.163      7.197    0.034 
473293.000    30.4890396787   114.5652996794     31.832     -1.201      7.193    0.032 
473294.000    30.4890290066   114.5653741908     31.847     -1.161      7.096    0.014 
473295.000    30.4890186974   114.5654476151     31.879     -1.126      6.976    0.049 
473296.000    30.4890087448   114.5655190091     31.933     -1.077      6.706    0.067 
473297.000    30.4889992487   114.5655873816     31.985     -1.012      6.402    0.050 
473298.000    30.4889911037   114.5656525895     32.042     -0.836      6.072    0.061 
473299.000    30.4889846133   114.5657154358     32.115     -0.681      6.019    0.056 
473300.000    30.4889790359   114.5657781253     32.181     -0.584      5.915    0.054 
473301.000    30.4889741203   114.5658362978     32.239     -0.504      5.215    0.072 
473302.000    30.4889700145   114.5658860216     32.306     -0.416      4.314    0.076 
473303.000    30.4889667281   114.5659262779     32.361     -0.334      3.543    0.053 
473304.000    30.4889639580   114.5659610802     32.408     -0.281      3.040    0.048 
473305.000    30.4889617223   114.5659891998     32.449     -0.239      2.569    0.039 
473306.000    30.4889596360   114.5660154222     32.486     -0.221      2.427    0.037 
473307.000    30.4889576884   114.5660397063     32.523     -0.212      2.244    0.033 
473308.000    30.4889556030   114.5660626728     32.558     -0.256      2.191    0.078 
473309.000    30.4889531464   114.5660846379     32.592     -0.262      1.959    0.033 
473310.000    30.4889505386   114.5661040855     32.622     -0.295      1.847    0.053 
