
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473287.000    30.4890963444   114.5648922958     31.863     -0.591      5.241   -0.050 
473288.000    30.4890888524   114.5649489796     31.822     -0.891      5.737   -0.043 
473289.000    30.4890802482   114.5650113099     31.795     -0.998      6.245   -0.023 
473290.000    30.4890709116   114.5650789268     31.795     -1.059      6.713    0.018 
473291.000    30.4890611811   114.5651505249     31.792     -1.089      7.001   -0.030 
473292.000    30.4890509483   114.5652246450     31.805     -1.162      7.197    0.033 
473293.000    30.4890402127   114.5652997809     31.832     -1.201      7.193    0.031 
473294.000    30.4890295407   114.5653742912     31.848     -1.162      7.096    0.014 
473295.000    30.4890192317   114.5654477140     31.880     -1.126      6.976    0.049 
473296.000    30.4890092792   114.5655191077     31.934     -1.078      6.706    0.066 
473297.000    30.4889997833   114.5655874791     31.986     -1.013      6.402    0.050 
473298.000    30.4889916397   114.5656526751     32.043     -0.838      6.072    0.060 
473299.000    30.4889851510   114.5657155063     32.116     -0.682      6.019    0.056 
473300.000    30.4889795744   114.5657781875     32.182     -0.585      5.915    0.054 
473301.000    30.4889746590   114.5658363575     32.240     -0.504      5.215    0.073 
473302.000    30.4889705533   114.5658860797     32.306     -0.416      4.314    0.076 
473303.000    30.4889672669   114.5659263353     32.362     -0.334      3.543    0.053 
473304.000    30.4889644970   114.5659611369     32.408     -0.281      3.040    0.049 
473305.000    30.4889622613   114.5659892560     32.450     -0.238      2.569    0.040 
473306.000    30.4889601750   114.5660154779     32.487     -0.221      2.427    0.037 
473307.000    30.4889582274   114.5660397625     32.524     -0.212      2.244    0.031 
473308.000    30.4889561415   114.5660627351     32.559     -0.255      2.191    0.078 
473309.000    30.4889536838   114.5660847118     32.592     -0.261      1.959    0.035 
473310.000    30.4889510745   114.5661041722     32.622     -0.293      1.847    0.054 
473311.000    30.4889483529   114.5661219957     32.647     -0.282      1.580    0.059 
473312.000    30.4889460309   114.5661358888     32.665     -0.213      1.117    0.015 
473313.000    30.4889444846   114.5661451516     32.676     -0.130      0.670    0.025 
473314.000    30.4889437324   114.5661498538     32.681     -0.057      0.248    0.034 
473315.000    30.4889436106   114.5661506709     32.682     -0.005      0.007    0.013 
473316.000    30.4889436130   114.5661506677     32.681     -0.022      0.008    0.054 
473317.000    30.4889436152   114.5661506703     32.680      0.019     -0.007   -0.047 
473318.000    30.4889436190   114.5661506722     32.678      0.008      0.004   -0.021 
473319.000    30.4889436175   114.5661506731     32.677     -0.018      0.009    0.036 
473320.000    30.4889436143   114.5661506743     32.678     -0.006     -0.010    0.010 
473321.000    30.4889435294   114.5661512221     32.679     -0.035      0.170    0.007 
473322.000    30.4889428642   114.5661554674     32.685     -0.128      0.650    0.033 
473323.000    30.4889413981   114.5661648356     32.696     -0.208      1.140    0.017 
473324.000    30.4889392698   114.5661785178     32.712     -0.284      1.476    0.072 
473325.000    30.4889368388   114.5661949510     32.731     -0.294      1.653    0.018 
473326.000    30.4889342703   114.5662128774     32.748     -0.319      1.769    0.063 
473327.000    30.4889316920   114.5662314142     32.769     -0.302      1.800    0.045 
473328.000    30.4889291909   114.5662514898     32.791     -0.318      2.126    0.054 
473329.000    30.4889264970   114.5662755050     32.823     -0.325      2.450    0.036 
473330.000    30.4889233256   114.5663029440     32.861     -0.403      2.843    0.079 
473331.000    30.4889194103   114.5663338267     32.896     -0.450      3.072    0.054 
473332.000    30.4889149599   114.5663668099     32.936     -0.532      3.311    0.044 
473333.000    30.4889098079   114.5664030416     32.980     -0.602      3.655    0.037 
473334.000    30.4889040992   114.5664427316     33.034     -0.667      3.978    0.054 
473335.000    30.4888978579   114.5664859059     33.095     -0.724      4.319    0.072 
473336.000    30.4888911602   114.5665326739     33.158     -0.769      4.662    0.066 
473337.000    30.4888840451   114.5665830788     33.214     -0.816      5.000    0.053 
