
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453544.000    30.4571244179   114.5778113688     18.705    3.80972887    1.31944719  297.81680003 
453545.000    30.4572216259   114.5775895127     18.556    4.00404018    1.39876099  297.85269372 
453546.000    30.4573202807   114.5773641558     18.393    3.78670804    1.32597510  297.73145749 
453547.000    30.4574197731   114.5771348457     18.226    3.86792375    1.36401062  297.48149955 
453548.000    30.4575206097   114.5769018599     18.035    3.92321309    1.34902338  297.51751032 
453549.000    30.4576235411   114.5766657782     17.865    3.91733030    1.29855636  297.66946662 
453550.000    30.4577281888   114.5764266601     17.678    3.80658047    1.34507105  297.66820250 
453551.000    30.4578345977   114.5761846096     17.480    3.93333320    1.22492936  297.66751974 
453552.000    30.4579426001   114.5759396956     17.272    3.99482072    1.30465729  297.71126360 
453553.000    30.4580524259   114.5756925963     17.047    3.81487329    1.23592878  297.99334005 
453554.000    30.4581629774   114.5754467957     16.848    3.77154973    1.06008931  298.09253977 
453555.000    30.4582715982   114.5752048801     16.668    3.75997881    0.94419713  298.01253383 
453556.000    30.4583779682   114.5749665980     16.501    3.62947272    1.10229259  297.89762473 
453557.000    30.4584833750   114.5747310487     16.321    3.72603466    0.95406994  297.90630466 
453558.000    30.4585881337   114.5744963416     16.169    3.92228710    1.14270054  297.83177142 
453559.000    30.4586929434   114.5742629437     15.993    3.80847929    1.14284899  298.07559618 
453560.000    30.4587980661   114.5740315051     15.818    4.09576699    1.14491023  298.16010628 
453561.000    30.4589016822   114.5738015716     15.637    4.34026939    1.07204555  297.72781103 
453562.000    30.4590030054   114.5735728350     15.437    4.25193957    1.09481372  297.33725208 
453563.000    30.4591032850   114.5733432640     15.265    4.20815795    1.21074626  297.06638622 
453564.000    30.4592040995   114.5731124464     15.085    4.19783295    1.24966323  297.22715189 
453565.000    30.4593064778   114.5728803376     14.904    3.97651352    1.21607437  297.39782663 
453566.000    30.4594098912   114.5726463083     14.735    3.71277157    1.49376248  297.10347416 
453567.000    30.4595122327   114.5724104299     14.537    4.33078559    1.29828648  296.83264175 
453568.000    30.4596142702   114.5721751377     14.449    4.23492725    1.39227070  296.84446500 
453569.000    30.4597147726   114.5719405756     14.362    4.30875093    1.45818567  296.13298652 
453570.000    30.4598113913   114.5717063414     14.370    4.25231490    1.71739196  295.14845741 
453571.000    30.4599058598   114.5714709451     14.422    4.21610791    1.83338882  294.85510625 
453572.000    30.4600000317   114.5712341149     14.547    4.06727067    1.95549674  294.64022342 
453573.000    30.4600940506   114.5709956619     14.732    4.08444174    2.18437366  294.39630110 
453574.000    30.4601874281   114.5707559408     14.970    3.80301337    2.17144779  294.07646431 
453575.000    30.4602798984   114.5705154372     15.264    3.58905547    2.43578193  293.74408521 
453576.000    30.4603712524   114.5702747107     15.656    3.74313102    2.57769109  293.47592355 
453577.000    30.4604612852   114.5700333204     16.101    3.84012621    2.80806739  292.98819569 
453578.000    30.4605500401   114.5697911273     16.637    3.78068493    2.77633763  292.67959044 
453579.000    30.4606380878   114.5695487853     17.171    4.15122836    2.97356593  292.51825682 
453580.000    30.4607254234   114.5693063363     17.781    3.70626912    2.95243995  292.31886455 
453581.000    30.4608117228   114.5690637259     18.390    3.95269877    2.93953395  291.99192229 
453582.000    30.4608967517   114.5688212628     18.959    4.16617689    2.94512214  291.74063597 
453583.000    30.4609808748   114.5685787771     19.537    4.37561859    2.97287808  291.40100762 
453584.000    30.4610634523   114.5683356545     20.114    3.97259119    3.09241616  291.04271149 
453585.000    30.4611449140   114.5680919057     20.723    3.91305500    3.09633678  290.69523672 
453586.000    30.4612250603   114.5678478820     21.251    3.96031143    3.07350133  290.32708541 
453587.000    30.4613035132   114.5676039427     21.797    3.74422470    2.82186197  289.91370941 
453588.000    30.4613805225   114.5673591801     22.278    3.82029665    2.77464217  289.44893962 
453589.000    30.4614563161   114.5671131338     22.728    3.90644995    2.67507812  289.08584511 
453590.000    30.4615310869   114.5668655689     23.115    4.27026303    2.44072397  288.56610839 
453591.000    30.4616042646   114.5666159066     23.467    4.51610518    2.50833069  288.10824286 
453592.000    30.4616767194   114.5663642487     23.782    4.34144870    2.46610252  287.77713283 
453593.000    30.4617482533   114.5661105022     24.053    3.98530380    2.36803974  287.35165481 
453594.000    30.4618187220   114.5658543093     24.277    3.79818583    2.18565231  286.96498516 
453595.000    30.4618892779   114.5655963510     24.451    3.78237801    2.01832626  286.88786451 
453596.000    30.4619595864   114.5653380846     24.599    3.94198406    1.98462986  286.77073005 
453597.000    30.4620292188   114.5650822894     24.685    3.71789050    1.77068233  286.82490987 
453598.000    30.4620981718   114.5648294437     24.750    4.02744714    1.79731945  286.71035823 
453599.000    30.4621650038   114.5645785270     24.767    4.08743307    1.64140231  286.22305632 
453600.000    30.4622299628   114.5643296052     24.727    3.99250210    1.45081883  285.95563919 
453601.000    30.4622932281   114.5640828620     24.672    4.14702681    1.43217063  285.68506243 
453602.000    30.4623549374   114.5638376818     24.583    3.95443427    1.31737865  285.40487314 
453603.000    30.4624150909   114.5635944065     24.497    4.27969130    1.18277997  285.02991556 
453604.000    30.4624730595   114.5633548654     24.440    4.12600462    1.33393724  284.76167413 
453605.000    30.4625290726   114.5631192086     24.356    4.06630979    1.28664887  284.55047595 
453606.000    30.4625838270   114.5628869969     24.284    4.10412597    1.31227785  284.46371371 
453607.000    30.4626379715   114.5626566366     24.218    4.03253147    1.37936467  284.39130024 
453608.000    30.4626918729   114.5624267798     24.189    3.95642655    1.43869329  284.37002950 
453609.000    30.4627460646   114.5621970902     24.162    3.80982619    1.49372375  284.48925369 
453610.000    30.4628006983   114.5619674032     24.128    3.79868187    1.43182301  284.53681930 
453611.000    30.4628557213   114.5617358621     24.071    3.90574771    1.48788327  284.37088927 
453612.000    30.4629108416   114.5615011009     23.981    3.97899845    1.50522039  284.21146727 
453613.000    30.4629668328   114.5612628149     23.857    3.81295006    1.52855928  284.29732561 
453614.000    30.4630241234   114.5610210571     23.757    3.82867968    1.54589213  284.38243674 
453615.000    30.4630825594   114.5607759139     23.667    3.90359804    1.55147098  284.42109604 
