   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 452062.00    30.4627832449   114.6601477961      8.243      1.761    -15.328    0.008 
 452063.00    30.4626450778   114.6601667595      8.255      1.871    -15.351    0.037 
 452064.00    30.4625057786   114.6601868965      8.283      1.977    -15.549    0.006 
 452065.00    30.4623644408   114.6602077484      8.287      2.040    -15.787   -0.032 
 452066.00    30.4622210783   114.6602292220      8.310      2.078    -15.974    0.036 
 452067.00    30.4620770272   114.6602509198      8.322      2.075    -15.953    0.036 
 452068.00    30.4619327212   114.6602721072      8.348      2.017    -16.073    0.062 
 452069.00    30.4617867566   114.6602929089      8.353      2.000    -16.282   -0.003 
 452070.00    30.4616396116   114.6603137248      8.330      1.998    -16.317   -0.004 
 452071.00    30.4614921770   114.6603344697      8.320      2.005    -16.397   -0.063 
 452072.00    30.4613446534   114.6603554403      8.336      2.055    -16.292    0.014 
 452073.00    30.4611978911   114.6603772854      8.357      2.138    -16.305    0.011 
 452074.00    30.4610501617   114.6603999424      8.376      2.194    -16.432    0.015 
 452075.00    30.4609014776   114.6604230916      8.382      2.246    -16.567   -0.034 
 452076.00    30.4607509026   114.6604466675      8.363      2.276    -16.821   -0.022 
 452077.00    30.4605989941   114.6604701681      8.385      2.219    -16.827    0.098 
 452078.00    30.4604475545   114.6604927869      8.405      2.123    -16.762    0.030 
 452079.00    30.4602957394   114.6605146207      8.397      2.078    -16.922   -0.057 
 452080.00    30.4601427536   114.6605360317      8.383      2.041    -16.965   -0.049 
 452081.00    30.4599897718   114.6605571957      8.357      2.013    -16.961   -0.009 
 452082.00    30.4598370863   114.6605779501      8.354      1.988    -16.907    0.097 
 452083.00    30.4596843099   114.6605993273      8.360      2.097    -16.995   -0.034 
 452084.00    30.4595301465   114.6606216502      8.422      2.154    -17.199    0.035 
 452085.00    30.4593745758   114.6606440246      8.440      2.088    -17.196    0.106 
 452086.00    30.4592202307   114.6606639325      8.534      1.740    -17.010    0.041 
 452087.00    30.4590677978   114.6606802073      8.597      1.472    -16.783    0.148 
 452088.00    30.4589174640   114.6606938457      8.692      1.152    -16.570    0.083 
 452089.00    30.4587688812   114.6607042379      8.794      0.809    -16.366    0.330 
 452090.00    30.4586218576   114.6607098032      8.924      0.311    -16.171    0.248 
 452091.00    30.4584769825   114.6607106026      9.191     -0.173    -15.893    0.271 
 452092.00    30.4583353702   114.6607048244      9.441     -0.970    -15.506    0.121 
 452093.00    30.4581975616   114.6606899131      9.646     -1.865    -15.053    0.095 
 452094.00    30.4580636890   114.6606654132      9.765     -2.829    -14.540    0.235 
 452095.00    30.4579349229   114.6606307827     10.007     -3.744    -14.007    0.323 
 452096.00    30.4578110537   114.6605882560     10.247     -4.417    -13.467    0.133 
 452097.00    30.4576923404   114.6605384426     10.416     -5.026    -12.816    0.204 
 452098.00    30.4575796761   114.6604844304     10.603     -5.362    -12.027    0.137 
 452099.00    30.4574757450   114.6604259162     10.907     -5.879    -11.058    0.068 
 452100.00    30.4573795628   114.6603639492     11.099     -6.013    -10.255    0.176 
 452101.00    30.4572904428   114.6603023284     11.224     -5.785     -9.458    0.123 
 452102.00    30.4572099185   114.6602429517     11.378     -5.608     -8.423    0.129 
 452103.00    30.4571379873   114.6601854567     11.496     -5.416     -7.488    0.106 
 452104.00    30.4570747178   114.6601306082     11.597     -5.107     -6.537    0.090 
 452105.00    30.4570188733   114.6600788018     11.688     -4.821     -5.832    0.094 
 452106.00    30.4569707751   114.6600320806     11.778     -4.080     -4.815    0.084 
 452107.00    30.4569317349   114.6599949867     11.851     -2.927     -3.791    0.058 
 452108.00    30.4569026586   114.6599741130     11.916     -1.100     -2.779    0.093 
