
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453552.000    30.4579430785   114.5759399845     17.268    3.99482072    1.30465729  297.71126360 
453553.000    30.4580529031   114.5756928880     17.043    3.81487329    1.23592878  297.99334005 
453554.000    30.4581634542   114.5754470886     16.844    3.77154973    1.06008931  298.09253977 
453555.000    30.4582720752   114.5752051723     16.664    3.75997881    0.94419713  298.01253383 
453556.000    30.4583784458   114.5749668890     16.498    3.62947272    1.10229259  297.89762473 
453557.000    30.4584838526   114.5747313399     16.317    3.72603466    0.95406994  297.90630466 
453558.000    30.4585886116   114.5744966318     16.165    3.92228710    1.14270054  297.83177142 
453559.000    30.4586934202   114.5742632363     15.989    3.80847929    1.14284899  298.07559618 
453560.000    30.4587985424   114.5740317984     15.813    4.09576699    1.14491023  298.16010628 
453561.000    30.4589021602   114.5738018606     15.633    4.34026939    1.07204555  297.72781103 
453562.000    30.4590034853   114.5735731203     15.432    4.25193957    1.09481372  297.33725208 
453563.000    30.4591037660   114.5733435467     15.261    4.20815795    1.21074626  297.06638622 
453564.000    30.4592045798   114.5731127306     15.081    4.19783295    1.24966323  297.22715189 
453565.000    30.4593069575   114.5728806235     14.899    3.97651352    1.21607437  297.39782663 
453566.000    30.4594103724   114.5726465913     14.731    3.71277157    1.49376248  297.10347416 
453567.000    30.4595127147   114.5724107102     14.533    4.33078559    1.29828648  296.83264175 
453568.000    30.4596147523   114.5721754181     14.444    4.23492725    1.39227070  296.84446500 
453569.000    30.4597152576   114.5719408489     14.357    4.30875093    1.45818567  296.13298652 
453570.000    30.4598118803   114.5717066049     14.365    4.25231490    1.71739196  295.14845741 
453571.000    30.4599063501   114.5714712057     14.418    4.21610791    1.83338882  294.85510625 
453572.000    30.4600005229   114.5712343733     14.543    4.06727067    1.95549674  294.64022342 
453573.000    30.4600945428   114.5709959177     14.727    4.08444174    2.18437366  294.39630110 
453574.000    30.4601879217   114.5707561937     14.966    3.80301337    2.17144779  294.07646431 
453575.000    30.4602803934   114.5705156867     15.260    3.58905547    2.43578193  293.74408521 
453576.000    30.4603717484   114.5702749573     15.652    3.74313102    2.57769109  293.47592355 
453577.000    30.4604617830   114.5700335620     16.097    3.84012621    2.80806739  292.98819569 
453578.000    30.4605505390   114.5697913658     16.633    3.78068493    2.77633763  292.67959044 
453579.000    30.4606385872   114.5695490217     17.166    4.15122836    2.97356593  292.51825682 
453580.000    30.4607259237   114.5693065711     17.777    3.70626912    2.95243995  292.31886455 
453581.000    30.4608122242   114.5690639573     18.386    3.95269877    2.93953395  291.99192229 
453582.000    30.4608972539   114.5688214914     18.954    4.16617689    2.94512214  291.74063597 
453583.000    30.4609813780   114.5685790021     19.532    4.37561859    2.97287808  291.40100762 
453584.000    30.4610639569   114.5683358761     20.110    3.97259119    3.09241616  291.04271149 
453585.000    30.4611454199   114.5680921238     20.719    3.91305500    3.09633678  290.69523672 
453586.000    30.4612255673   114.5678480963     21.247    3.96031143    3.07350133  290.32708541 
453587.000    30.4613040216   114.5676041532     21.793    3.74422470    2.82186197  289.91370941 
453588.000    30.4613810323   114.5673593857     22.274    3.82029665    2.77464217  289.44893962 
453589.000    30.4614568270   114.5671133357     22.724    3.90644995    2.67507812  289.08584511 
453590.000    30.4615315991   114.5668657654     23.110    4.27026303    2.44072397  288.56610839 
453591.000    30.4616047780   114.5666160982     23.462    4.51610518    2.50833069  288.10824286 
453592.000    30.4616772339   114.5663644369     23.778    4.34144870    2.46610252  287.77713283 
453593.000    30.4617487691   114.5661106864     24.049    3.98530380    2.36803974  287.35165481 
453594.000    30.4618192389   114.5658544897     24.273    3.79818583    2.18565231  286.96498516 
453595.000    30.4618897950   114.5655965307     24.447    3.78237801    2.01832626  286.88786451 
453596.000    30.4619601037   114.5653382630     24.595    3.94198406    1.98462986  286.77073005 
453597.000    30.4620297361   114.5650824687     24.681    3.71789050    1.77068233  286.82490987 
453598.000    30.4620986892   114.5648296215     24.746    4.02744714    1.79731945  286.71035823 
453599.000    30.4621655224   114.5645786999     24.762    4.08743307    1.64140231  286.22305632 
453600.000    30.4622304821   114.5643297754     24.723    3.99250210    1.45081883  285.95563919 
453601.000    30.4622937481   114.5640830294     24.668    4.14702681    1.43217063  285.68506243 
453602.000    30.4623554581   114.5638378464     24.578    3.95443427    1.31737865  285.40487314 
453603.000    30.4624156124   114.5635945671     24.493    4.27969130    1.18277997  285.02991556 
453604.000    30.4624735817   114.5633550232     24.436    4.12600462    1.33393724  284.76167413 
453605.000    30.4625295953   114.5631193642     24.351    4.06630979    1.28664887  284.55047595 
453606.000    30.4625843500   114.5628871515     24.280    4.10412597    1.31227785  284.46371371 
