+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
452016.000    30.4682116623   114.6592182034      8.721   -2295599.838    5000364.094    3215222.026 
452017.000    30.4681359326   114.6592297141      8.710   -2295602.615    5000367.493    3215214.784 
452018.000    30.4680547743   114.6592419499      8.707   -2295605.585    5000371.146    3215207.027 
452019.000    30.4679702554   114.6592543585      8.706   -2295608.650    5000374.966    3215198.951 
452020.000    30.4678828062   114.6592668153      8.679   -2295611.778    5000378.913    3215190.581 
452021.000    30.4677915440   114.6592794945      8.660   -2295615.018    5000383.052    3215181.851 
452022.000    30.4676974771   114.6592932971      8.654   -2295618.427    5000387.300    3215172.860 
452023.000    30.4676006609   114.6593079682      8.658   -2295621.979    5000391.661    3215163.611 
452024.000    30.4675004676   114.6593241196      8.650   -2295625.736    5000396.126    3215154.033 
452025.000    30.4673964294   114.6593419603      8.619   -2295629.722    5000400.702    3215144.077 
452026.000    30.4672879029   114.6593612447      8.590   -2295633.940    5000405.450    3215133.692 
452027.000    30.4671761787   114.6593815876      8.586   -2295638.334    5000410.340    3215123.014 
452028.000    30.4670624484   114.6594027456      8.593   -2295642.850    5000415.308    3215112.150 
452029.000    30.4669453408   114.6594250513      8.588   -2295647.542    5000420.393    3215100.958 
452030.000    30.4668251976   114.6594481401      8.587   -2295652.374    5000425.604    3215089.477 
452031.000    30.4667048766   114.6594714123      8.592   -2295657.229    5000430.822    3215077.983 
452032.000    30.4665840987   114.6594947366      8.558   -2295662.085    5000436.031    3215066.425 
452033.000    30.4664643066   114.6595179471      8.528   -2295666.909    5000441.197    3215054.963 
452034.000    30.4663472884   114.6595399822      8.518   -2295671.573    5000446.284    3215043.777 
452035.000    30.4662303492   114.6595609687      8.542   -2295676.155    5000451.435    3215032.615 
452036.000    30.4661118309   114.6595816348      8.505   -2295680.725    5000456.633    3215021.271 
452037.000    30.4659937934   114.6596026954      8.420   -2295685.301    5000461.752    3215009.949 
452038.000    30.4658770211   114.6596266357      8.446   -2295690.138    5000466.778    3214998.804 
452039.000    30.4657587197   114.6596516850      8.450   -2295695.100    5000471.821    3214987.502 
452040.000    30.4656372537   114.6596758108      8.466   -2295700.060    5000477.072    3214975.904 
452041.000    30.4655131980   114.6597001360      8.456   -2295705.089    5000482.426    3214964.044 
452042.000    30.4653883406   114.6597248321      8.433   -2295710.164    5000487.797    3214952.102 
452043.000    30.4652632093   114.6597487807      8.382   -2295715.170    5000493.189    3214940.119 
452044.000    30.4651369145   114.6597720774      8.390   -2295720.168    5000498.713    3214928.055 
452045.000    30.4650105723   114.6597946820      8.440   -2295725.122    5000504.300    3214916.008 
